horizon,model,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
osi_target_t01h,C0_direct_osi,34177,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.0,0.0,0.0,0
osi_target_t01h,C1_component_osi,34177,0.011907090816672686,0.003540335342219387,4.845574448034514,-0.0001090468730581216,0.011878902534761171,0.0035384359938404534,4.822659238233256,-0.00010612166590645576,-2.8188281911515137e-05,-0.23673525586993538,0.022915209801258385,54
osi_target_t01h,C2_equal_blend,34177,0.011948976400110755,0.0035449071315145674,4.8797249709045705,-0.00012901454207799425,0.01193424034852952,0.0035439898492478313,4.867696570087254,-0.00012756522203246425,-1.473605158123538e-05,-0.1233248027931344,0.012028400817316154,56
osi_target_t01h,C3_aligned_component,34177,0.011783624615677923,0.0034929554982199478,4.745606633036891,-0.00011321764680205473,0.011755140271263249,0.003491056149841014,4.722691423235632,-0.00011029243965038886,-2.848434441467436e-05,-0.2417282062496806,0.022915209801259273,54
osi_target_t01h,v18_rule,34177,0.011783624615677923,0.0034929554982199478,4.745606633036891,-0.00011321764680205473,0.011755140271263249,0.003491056149841014,4.722691423235632,-0.00011029243965038886,-2.848434441467436e-05,-0.2417282062496806,0.022915209801259273,54
osi_target_t06h,C0_direct_osi,32982,0.01073393416160627,0.003461091435797809,3.8000983931614947,1.0093322570397718e-05,0.01073393416160627,0.003461091435797809,3.8000983931614947,1.0093322570397718e-05,0.0,0.0,0.0,0
osi_target_t06h,C1_component_osi,32982,0.010621545697340714,0.0034298288998334237,3.7209379788289896,-2.6052803273897497e-07,0.010621545697340714,0.0034298288998334237,3.7209379788289896,-2.6052803273897497e-07,0.0,0.0,0.0,0
osi_target_t06h,C2_equal_blend,32982,0.010653558786996201,0.003419836446260306,3.7434014196565677,-9.769861321811721e-06,0.010653558786996201,0.003419836446260306,3.7434014196565677,-9.769861321811721e-06,0.0,0.0,0.0,0
osi_target_t06h,C3_aligned_component,32982,0.010427511705922264,0.003289226526120758,3.5862318184390243,-8.470966592904378e-05,0.010427511705922264,0.003289226526120758,3.5862318184390243,-8.470966592904378e-05,0.0,0.0,0.0,0
osi_target_t06h,v18_rule,32982,0.010427511705922264,0.003289226526120758,3.5862318184390243,-8.470966592904378e-05,0.010427511705922264,0.003289226526120758,3.5862318184390243,-8.470966592904378e-05,0.0,0.0,0.0,0
osi_target_t24h,C0_direct_osi,28680,0.00861830195271674,0.0028389953167640646,2.13021068676241,-8.851748810857948e-05,0.00861830195271674,0.0028389953167640646,2.13021068676241,-8.851748810857948e-05,0.0,0.0,0.0,0
osi_target_t24h,C1_component_osi,28680,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.0,0.0,0.0,0
osi_target_t24h,C2_equal_blend,28680,0.0085370574557761,0.002808167540871237,2.090237118092415,-9.551377495420408e-05,0.0085370574557761,0.002808167540871237,2.090237118092415,-9.551377495420408e-05,0.0,0.0,0.0,0
osi_target_t24h,C3_aligned_component,28680,0.008426588509688701,0.0027516296495448235,2.0364920573851943,-7.541610843319797e-05,0.008426588509688701,0.0027516296495448235,2.0364920573851943,-7.541610843319797e-05,0.0,0.0,0.0,0
osi_target_t24h,v18_rule,28680,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.0,0.0,0.0,0
osi_target_t48h,C0_direct_osi,22944,0.007743302763035277,0.002251557437795284,1.3756932773306025,-0.00016308958938848276,0.007743302763035277,0.002251557437795284,1.3756932773306025,-0.00016308958938848276,0.0,0.0,0.0,0
osi_target_t48h,C1_component_osi,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.0,0.0,0.0,0
osi_target_t48h,C2_equal_blend,22944,0.007702283879539482,0.002225234652350598,1.3611568601934998,-0.00016897742632658718,0.007702283879539482,0.002225234652350598,1.3611568601934998,-0.00016897742632658718,0.0,0.0,0.0,0
osi_target_t48h,C3_aligned_component,22944,0.00773914813050702,0.0022166007425422933,1.3742174299043848,-0.00013045869446793218,0.00773914813050702,0.0022166007425422933,1.3742174299043848,-0.00013045869446793218,0.0,0.0,0.0,0
osi_target_t48h,v18_rule,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.0,0.0,0.0,0
