split_seed,case,population,kind,support_rows,all_rows,support_counties,raw_label_rmse,clipped_label_rmse,raw_P_contribution_rmse,clipped_P_contribution_rmse,clipped_low,clipped_high
20260917,F0,fold2,a,5291,6864,37,0.3395901427710248,0.33958836590986136,0.009500247645304256,0.009500247333848643,41,0
20260917,F0,fold2,b,6864,6864,48,0.009304344730103864,0.00926317778506066,0.009102635213506153,0.009067799892233316,2682,0
20260917,F0,fold3,a,5434,6721,38,0.3127276391524577,0.3127008058577852,0.007236199861551407,0.007236157930781618,294,3
20260917,F0,fold3,b,6721,6721,47,0.024706944382526786,0.02470507145777017,0.021381671436401288,0.021379848290627924,2160,0
20260917,F0,fold4,a,5434,6864,38,0.3659171398194246,0.3659041151350819,0.010394226985430811,0.010394156294339067,233,0
20260917,F0,fold4,b,6864,6864,48,0.018900154919506095,0.01889899625626872,0.018787783794571317,0.01878668785137462,1560,0
20260917,F2,all,a,26598,34177,186,0.3276379705759604,0.3275634104087345,0.008740891648685354,0.008740134484760888,1159,5
20260917,F2,all,b,34177,34177,239,0.016082134002602503,0.016063596409137907,0.01500136240227588,0.01498334062996338,13026,0
20260917,F2,fold0,a,5720,6864,40,0.3013484270868386,0.301314470377529,0.007921502162132648,0.007917807476136273,78,2
20260917,F2,fold0,b,6864,6864,48,0.014484164409500398,0.014440098745407389,0.014178451300807405,0.01413486836798546,2397,0
20260917,F2,fold1,a,4719,6864,33,0.3196014938500892,0.31949669846629625,0.008729956968337817,0.008729809858947992,117,0
20260917,F2,fold1,b,6864,6864,48,0.007299497801955048,0.00724899951416775,0.00721659443369288,0.007169912991277432,3049,0
20260917,F2,fold2,a,5291,6864,37,0.33217220595487706,0.33212484377883544,0.009402700695766713,0.009402536943186917,258,0
20260917,F2,fold2,b,6864,6864,48,0.009102962427340721,0.009066056076491396,0.008921780137970368,0.008892401559873914,2724,0
20260917,F2,fold3,a,5434,6721,38,0.3192254572371,0.3190296543700762,0.007596313932970748,0.007596267423331612,503,3
20260917,F2,fold3,b,6721,6721,47,0.024697058466298185,0.024694082039707493,0.02136645446356832,0.02136348224103209,2178,0
20260917,F2,fold4,a,5434,6864,38,0.3630407203099812,0.36303547717390966,0.009825948120022803,0.009825895035752239,203,0
20260917,F2,fold4,b,6864,6864,48,0.01856372303858654,0.018559861124871496,0.018460653014958302,0.01845693238030893,2678,0
20260918,F0,all,a,26598,34177,186,0.327697617164146,0.32768024513577343,0.009454158874030488,0.009453971540637986,695,0
20260918,F0,all,b,34177,34177,239,0.014994008824272069,0.014970536449784818,0.013842602765517674,0.01382012931315791,13607,0
20260918,F0,fold0,a,5863,6864,41,0.33075580563728646,0.3306930296817086,0.007068334129069709,0.00706714001932747,445,0
20260918,F0,fold0,b,6864,6864,48,0.009959504986365369,0.009940090770092338,0.009891678400165003,0.00987372547209487,2554,0
20260918,F0,fold1,a,5148,6721,36,0.3013377076893164,0.30133664999126736,0.00987941681359214,0.009879400443814903,54,0
20260918,F0,fold1,b,6721,6721,47,0.009608723357530337,0.009544235251460528,0.009400243723558828,0.009338623932938082,2602,0
20260918,F0,fold2,a,5005,6864,35,0.3246851620057313,0.3246851620057313,0.010951066820387732,0.010951066820387732,0,0
20260918,F0,fold2,b,6864,6864,48,0.026668779222627285,0.026658875912834067,0.023681217934624913,0.023670739004014164,2389,0
20260918,F0,fold3,a,5148,6864,36,0.37890242044376854,0.3789022269245979,0.009631345969052617,0.00963134570909623,5,0
20260918,F0,fold3,b,6864,6864,48,0.012015135005407249,0.011997526322075824,0.011836969845403283,0.011820058808873494,3089,0
20260918,F0,fold4,a,5434,6864,38,0.29741347870138346,0.2973963577375032,0.009317938240567588,0.009317914855374258,191,0
20260918,F0,fold4,b,6864,6864,48,0.008615954922047727,0.008560334669485622,0.008295380002578885,0.008252250257860012,2973,0
20260918,F2,all,a,26598,34177,186,0.32788824739075156,0.3278379740170347,0.009107166555068023,0.0091069328871845,1010,3
20260918,F2,all,b,34177,34177,239,0.015053807605879257,0.01501367353439735,0.013882357937510957,0.013846309270703447,13772,0
20260918,F2,fold0,a,5863,6864,41,0.3278978706442838,0.32784330435772646,0.007558375546627786,0.0075581548349460854,310,1
20260918,F2,fold0,b,6864,6864,48,0.010212148999787762,0.010179014909118782,0.01012097840394865,0.0100893559355173,2795,0
20260918,F2,fold1,a,5148,6721,36,0.3010479987401229,0.300975856946921,0.009562425308724958,0.009561844146982575,318,2
20260918,F2,fold1,b,6721,6721,47,0.00964115200807629,0.009548712747072684,0.009493857635441987,0.009406690975244705,2674,0
20260918,F2,fold2,a,5005,6864,35,0.32722598868357544,0.32722598868357544,0.010731885775618856,0.010731885775618856,0,0
20260918,F2,fold2,b,6864,6864,48,0.02672031370149914,0.026703758459809424,0.023634753842495224,0.02361860538173246,2164,0
20260918,F2,fold3,a,5148,6864,36,0.3801894274485297,0.3800777185781593,0.008661755546542308,0.008661356588434402,306,0
20260918,F2,fold3,b,6864,6864,48,0.012023533994380477,0.011988719955676547,0.011874956497075899,0.011842330278590083,3029,0
20260918,F2,fold4,a,5434,6864,38,0.2980128553023778,0.29801092972636295,0.008724166778897743,0.00872416326877555,76,0
20260918,F2,fold4,b,6864,6864,48,0.008632530911011125,0.008523207924837475,0.00832336305296899,0.008251693134537007,3110,0
