cv_seed,pair,candidate,reference,horizon,n,rmse,mae,sse,sae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
20260917,I3_minus_I1,I3,I1,1,34177,0.011062252875491096,0.0032614231495925895,4.182357013811167,111.46565898362593,-0.00016424828599728307,0.011062252875491096,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,6,32982,0.010081513422689467,0.0031309982266418163,3.3521886609995875,103.26658351110038,-0.00015800704270487189,0.010081513422689467,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,24,28680,0.0085603480829565,0.0027800298848209754,2.1016577607634934,79.73125709666557,-0.00024319321240957225,0.00856674431733002,-6.396234373519383e-06,-0.07466353770568812,0.0031418623696635173
20260917,I3_minus_I1,I3,I1,48,22944,0.007847608155583162,0.002142108390019861,1.413005179151473,49.14853490061569,-0.00041548817762898914,0.007847608155583162,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,1,34177,0.011062252875491096,0.0032614231495925895,4.182357013811167,111.46565898362593,-0.00016424828599728307,0.011062252875491096,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,6,32982,0.010081513422689467,0.0031309982266418163,3.3521886609995875,103.26658351110038,-0.00015800704270487189,0.010081513422689467,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,24,28680,0.0085603480829565,0.0027800298848209754,2.1016577607634934,79.73125709666557,-0.00024319321240957225,0.008609503545453312,-4.915546249681206e-05,-0.5709442157413536,0.024205690496792442
20260917,I3_minus_I2,I3,I2,48,22944,0.007847608155583162,0.002142108390019861,1.413005179151473,49.14853490061569,-0.00041548817762898914,0.007847608155583162,0.0,0.0,0.0
20260917,I2_minus_I1,I2,I1,1,34177,0.011062252875491096,0.0032614231495925895,4.182357013811167,111.46565898362593,-0.00016424828599728307,0.011062252875491096,0.0,0.0,0.0
20260917,I2_minus_I1,I2,I1,6,32982,0.010081513422689467,0.0031309982266418163,3.3521886609995875,103.26658351110038,-0.00015800704270487189,0.010081513422689467,0.0,0.0,0.0
20260917,I2_minus_I1,I2,I1,24,28680,0.008609503545453312,0.0027417302070555025,2.125863451260286,78.63282233835182,-0.00026801273034823966,0.00856674431733002,4.275922812329268e-05,0.4991304343797687,-0.021063828127128925
20260917,I2_minus_I1,I2,I1,48,22944,0.007847608155583162,0.002142108390019861,1.413005179151473,49.14853490061569,-0.00041548817762898914,0.007847608155583162,0.0,0.0,0.0
20260917,I1_minus_B0,I1,B0,1,34177,0.011062252875491096,0.0032614231495925895,4.182357013811167,111.46565898362593,-0.00016424828599728307,0.011062252875491096,0.0,0.0,0.0
20260917,I1_minus_B0,I1,B0,6,32982,0.010081513422689467,0.0031309982266418163,3.3521886609995875,103.26658351110038,-0.00015800704270487189,0.010081513422689467,0.0,0.0,0.0
20260917,I1_minus_B0,I1,B0,24,28680,0.00856674431733002,0.002890042669314749,2.104799623133157,82.88642375594699,-0.00012182407134348413,0.00856674431733002,0.0,0.0,0.0
20260917,I1_minus_B0,I1,B0,48,22944,0.007847608155583162,0.002142108390019861,1.413005179151473,49.14853490061569,-0.00041548817762898914,0.007895792270846023,-4.818411526286148e-05,-0.6102505437076133,0.01740490129589478
20260917,I3_minus_B0,I3,B0,1,34177,0.011062252875491096,0.0032614231495925895,4.182357013811167,111.46565898362593,-0.00016424828599728307,0.011062252875491096,0.0,0.0,0.0
20260917,I3_minus_B0,I3,B0,6,32982,0.010081513422689467,0.0031309982266418163,3.3521886609995875,103.26658351110038,-0.00015800704270487189,0.010081513422689467,0.0,0.0,0.0
20260917,I3_minus_B0,I3,B0,24,28680,0.0085603480829565,0.0027800298848209754,2.1016577607634934,79.73125709666557,-0.00024319321240957225,0.00856674431733002,-6.396234373519383e-06,-0.07466353770568812,0.0031418623696635173
20260917,I3_minus_B0,I3,B0,48,22944,0.007847608155583162,0.002142108390019861,1.413005179151473,49.14853490061569,-0.00041548817762898914,0.007895792270846023,-4.818411526286148e-05,-0.6102505437076133,0.01740490129589478
