cv_seed,pair,candidate,reference,horizon,start,end,common_target,accounting_only,n,rmse,mae,sse,sae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
20260917,I3_minus_I1,I3,I1,1,96,119,False,False,5736,0.009867045371782474,0.004507385083869511,0.5584488399395168,25.854360841075515,-1.141176933259392e-05,0.009867045371782474,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,1,120,143,False,False,5736,0.010026223598484561,0.00430787543389956,0.5766123157340947,24.709973488847872,-1.41443149202105e-05,0.010026223598484561,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,1,144,215,False,False,17208,0.0071910927534974915,0.0015497044157602691,0.8898569123376663,26.667313586402713,-0.00027374638516171454,0.0071910927534974915,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,1,120,215,True,False,22944,0.007994695188295504,0.0022392471702950916,1.4664692280717608,51.377287075250585,-0.00020884586760133855,0.007994695188295504,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,1,73,95,False,True,5497,0.019810999575132205,0.006227762610023621,2.1574389457998886,34.234011067299846,-0.00013758344103916175,0.019810999575132205,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,6,96,119,False,False,5736,0.009867045371782474,0.004507385083869511,0.5584488399395168,25.854360841075515,-1.141176933259392e-05,0.009867045371782474,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,6,120,143,False,False,5736,0.010026223598484561,0.00430787543389956,0.5766123157340947,24.709973488847872,-1.41443149202105e-05,0.010026223598484561,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,6,144,215,False,False,17208,0.0071910927534974915,0.0015497044157602691,0.8898569123376663,26.667313586402713,-0.00027374638516171454,0.0071910927534974915,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,6,120,215,True,False,22944,0.007994695188295504,0.0022392471702950916,1.4664692280717608,51.377287075250585,-0.00020884586760133855,0.007994695188295504,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,6,78,95,False,True,4302,0.017564853548849776,0.006051821384187421,1.3272705929883095,26.034935594774286,-8.232700775341991e-05,0.017564853548849776,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,24,96,119,False,False,5736,0.01030965337020368,0.0047552528338535086,0.6096734321924822,27.276130254983727,-0.00017191693484910203,0.010304531554606674,5.12181559700689e-06,0.049704497190039554,-0.0006056186609839642
20260917,I3_minus_I1,I3,I1,24,120,143,False,False,5736,0.010255316350558347,0.004447636799904784,0.6032638011493685,25.511644684253845,-0.00017899412630789898,0.010300423260235317,-4.510690967697052e-05,-0.43791316664728575,0.005318452984852895
