cv_seed,pair,candidate,reference,horizon,fold,n,rmse,mae,sse,sae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
20260917,I3_minus_I1,I3,I1,1,0,6864,0.010247017703498338,0.0032701782725675214,0.7207294161437084,22.446503662903467,-0.0014967264697985298,0.010247017703498338,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,1,1,6864,0.008478861102848132,0.0032722828353213946,0.4934604115679481,22.460949381646053,0.001233272039438204,0.008478861102848132,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,1,2,6864,0.007777514497735883,0.002933927535101036,0.415201518817744,20.138478600933514,0.0005973381503205452,0.007777514497735883,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,1,3,6721,0.015032129724212489,0.0031182710785919265,1.5187102545101592,20.957899919216338,-0.00019563513155799341,0.015032129724212489,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,1,4,6864,0.012275106359066696,0.003709473691568557,1.034255412771607,25.461827418926575,-0.0009601439110044893,0.012275106359066696,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,6,0,6624,0.010293064777865084,0.0032271894297482328,0.7017941370212688,21.376902782652294,-0.0015972364738331471,0.010293064777865084,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,6,1,6624,0.008014807341268084,0.003139759371668006,0.42550679361767896,20.797766077928873,0.0011158636485488406,0.008014807341268084,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,6,2,6624,0.007655825200739391,0.0028393709588770103,0.38824363255632643,18.807993231601316,0.0005987171415705405,0.007655825200739391,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,6,3,6486,0.01156261316570581,0.002812789169840604,0.8671394346033199,18.243750555586157,6.470110072519167e-05,0.01156261316570581,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,6,4,6624,0.01209803368161548,0.003629252847725202,0.9695046632009932,24.04017086333174,-0.0009674408775476587,0.01209803368161548,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,24,0,5760,0.010201058225336518,0.003016057916312605,0.5993947521602255,17.372493597960606,-0.0018101642979854954,0.010217488051030194,-1.6429825693676722e-05,-0.16080102674570496,0.0019323253799364837
20260917,I3_minus_I1,I3,I1,24,1,5760,0.006739991199713421,0.002827161281729493,0.26166229270395475,16.28444898276188,0.0010111362208287023,0.00649460475477176,0.000245386444941661,3.778312217712232,-0.018706121000700016
20260917,I3_minus_I1,I3,I1,24,2,5760,0.006405646725239526,0.002446631241092156,0.23634610541897388,14.09259594869082,0.0007848325884172658,0.006531556504239489,-0.00012590977899996306,-1.9277147632151381,0.009382581501127585
20260917,I3_minus_I1,I3,I1,24,3,5640,0.005841057675218885,0.0021824078614094376,0.19242526487591666,12.308780338349228,3.940530669160513e-05,0.006058215335037773,-0.00021715765981888784,-3.5845153697814824,0.014573863101757123
20260917,I3_minus_I1,I3,I1,24,4,5760,0.011871924642743907,0.003415440664740112,0.8118293456044228,19.672938228903046,-0.001235288410851998,0.011842342220584506,2.9582422159401406e-05,0.24980212198209006,-0.00404078661245777
20260917,I3_minus_I1,I3,I1,48,0,4608,0.009705311939191984,0.0023831671454663606,0.4340417118889995,10.98163420630899,-0.001560507351822618,0.009705311939191984,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,48,1,4608,0.005322905002131675,0.002136367979991073,0.13055992778519845,9.844383651798864,0.0005483237478527898,0.005322905002131675,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,48,2,4608,0.00438995975463438,0.0016699097726282101,0.0888042085508024,7.694944232270792,0.0005169456372450005,0.00438995975463438,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,48,3,4512,0.003693460477329475,0.001390598640141218,0.06155112614274806,6.274381064317176,1.680426991220674e-05,0.003693460477329475,0.0,0.0,0.0
20260917,I3_minus_I1,I3,I1,48,4,4608,0.01230797121998681,0.0031148419587499706,0.6980482047837248,14.353191745919865,-0.0015900010986752168,0.01230797121998681,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,1,0,6864,0.010247017703498338,0.0032701782725675214,0.7207294161437084,22.446503662903467,-0.0014967264697985298,0.010247017703498338,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,1,1,6864,0.008478861102848132,0.0032722828353213946,0.4934604115679481,22.460949381646053,0.001233272039438204,0.008478861102848132,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,1,2,6864,0.007777514497735883,0.002933927535101036,0.415201518817744,20.138478600933514,0.0005973381503205452,0.007777514497735883,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,1,3,6721,0.015032129724212489,0.0031182710785919265,1.5187102545101592,20.957899919216338,-0.00019563513155799341,0.015032129724212489,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,1,4,6864,0.012275106359066696,0.003709473691568557,1.034255412771607,25.461827418926575,-0.0009601439110044893,0.012275106359066696,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,6,0,6624,0.010293064777865084,0.0032271894297482328,0.7017941370212688,21.376902782652294,-0.0015972364738331471,0.010293064777865084,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,6,1,6624,0.008014807341268084,0.003139759371668006,0.42550679361767896,20.797766077928873,0.0011158636485488406,0.008014807341268084,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,6,2,6624,0.007655825200739391,0.0028393709588770103,0.38824363255632643,18.807993231601316,0.0005987171415705405,0.007655825200739391,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,6,3,6486,0.01156261316570581,0.002812789169840604,0.8671394346033199,18.243750555586157,6.470110072519167e-05,0.01156261316570581,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,6,4,6624,0.01209803368161548,0.003629252847725202,0.9695046632009932,24.04017086333174,-0.0009674408775476587,0.01209803368161548,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,24,0,5760,0.010201058225336518,0.003016057916312605,0.5993947521602255,17.372493597960606,-0.0018101642979854954,0.010198239454043372,2.818771293145589e-06,0.027639783374855398,-0.00033120549906617835
