split_seed,horizon,model,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
20260917,osi_target_t06h,v18_rule,32982,0.010870630226386284,0.003348082840773493,3.897502779293824,-0.0001761207036780813,0.010870630226386284,0.003348082840773493,3.897502779293824,-0.0001761207036780813,0.0,0.0,0.0,0
20260917,osi_target_t24h,C0_direct_osi,28680,0.00865942183518786,0.0029175849835404396,2.150586621385807,-0.00012945774455302454,0.00865942183518786,0.0029175849835404396,2.150586621385807,-0.00012945774455302454,0.0,0.0,0.0,0
20260917,osi_target_t24h,C1_component_osi,28680,0.008710411518259539,0.002956278833563109,2.175987989683848,-9.541737739903497e-05,0.008710411518259539,0.002956278833563109,2.175987989683848,-9.541737739903497e-05,0.0,0.0,0.0,0
20260917,osi_target_t24h,C2_equal_blend,28680,0.00866343794071386,0.0029172561365550147,2.1525819014005796,-0.00012246009912659733,0.00866343794071386,0.0029172561365550147,2.1525819014005796,-0.00012246009912659733,0.0,0.0,0.0,0
20260917,osi_target_t24h,C3_aligned_component,28680,0.008410169280340137,0.0027594718016332926,2.028563569251658,-0.0001881983710133386,0.008410169280340137,0.0027594718016332926,2.028563569251658,-0.0001881983710133386,0.0,0.0,0.0,0
20260917,osi_target_t24h,v18_rule,28680,0.008710411518259539,0.002956278833563109,2.175987989683848,-9.541737739903497e-05,0.008710411518259539,0.002956278833563109,2.175987989683848,-9.541737739903497e-05,0.0,0.0,0.0,0
20260917,osi_target_t48h,C0_direct_osi,22944,0.007941008803189471,0.0022665477750623154,1.4468399399181604,-0.0002814420207812377,0.007941008803189471,0.0022665477750623154,1.4468399399181604,-0.0002814420207812377,0.0,0.0,0.0,0
20260917,osi_target_t48h,C1_component_osi,22944,0.007895792270846023,0.002249936035520659,1.4304100804473678,-0.0002851312363928788,0.007895792270846023,0.002249936035520659,1.4304100804473678,-0.0002851312363928788,0.0,0.0,0.0,0
20260917,osi_target_t48h,C2_equal_blend,22944,0.007904265788718098,0.002243387831819192,1.4334818707611976,-0.00029383923575625377,0.007904265788718098,0.002243387831819192,1.4334818707611976,-0.00029383923575625377,0.0,0.0,0.0,0
20260917,osi_target_t48h,C3_aligned_component,22944,0.007935473406747247,0.0022771103343947638,1.4448235610128388,-0.00019870820671576606,0.007935473406747247,0.0022771103343947638,1.4448235610128388,-0.00019870820671576606,0.0,0.0,0.0,0
20260917,osi_target_t48h,v18_rule,22944,0.007895792270846023,0.002249936035520659,1.4304100804473678,-0.0002851312363928788,0.007895792270846023,0.002249936035520659,1.4304100804473678,-0.0002851312363928788,0.0,0.0,0.0,0
20260918,osi_target_t01h,C0_direct_osi,34177,0.011412584634342813,0.0034878304326271497,4.4514547278076595,-6.92958228133906e-05,0.011412584634342813,0.0034878304326271497,4.4514547278076595,-6.92958228133906e-05,0.0,0.0,0.0,0
20260918,osi_target_t01h,C1_component_osi,34177,0.01137237591678052,0.003470228922729608,4.42014333106405,-5.003712572044189e-05,0.011351924306613574,0.0034694930527204293,4.404259620571825,-4.772168879827678e-05,-2.0451610166945938e-05,-0.1798358611833084,0.01588371049222559,51
20260918,osi_target_t01h,C2_equal_blend,34177,0.011365068409012994,0.0034526022115630274,4.414464684062189,-6.962227722061306e-05,0.011354261554201743,0.003452106396494234,4.4060733932147045,-6.845425503677472e-05,-1.0806854811251654e-05,-0.09508833930714777,0.008391290847484356,45
20260918,osi_target_t01h,C3_aligned_component,34177,0.01144658086857706,0.0034632316437298036,4.478014547553544,-8.397762543157155e-05,0.01142626207696064,0.0034624957737206244,4.462130837061318,-8.166218850940635e-05,-2.0318791616420057e-05,-0.1775097022395422,0.01588371049222559,51
20260918,osi_target_t01h,v18_rule,34177,0.01144658086857706,0.0034632316437298036,4.478014547553544,-8.397762543157155e-05,0.01142626207696064,0.0034624957737206244,4.462130837061318,-8.166218850940635e-05,-2.0318791616420057e-05,-0.1775097022395422,0.01588371049222559,51
20260918,osi_target_t06h,C0_direct_osi,32982,0.010164473717052333,0.003360910998166614,3.407585658706369,-3.386428560855574e-05,0.010164473717052333,0.003360910998166614,3.407585658706369,-3.386428560855574e-05,0.0,0.0,0.0,0
20260918,osi_target_t06h,C1_component_osi,32982,0.010121851237145981,0.0033468951955603777,3.379067657703745,-2.8959241664821344e-06,0.010121851237145981,0.0033468951955603777,3.379067657703745,-2.8959241664821344e-06,0.0,0.0,0.0,0
20260918,osi_target_t06h,C2_equal_blend,32982,0.010117001896246633,0.0033309819346660397,3.3758306360730765,-2.9651160602512773e-05,0.010117001896246633,0.0033309819346660397,3.3758306360730765,-2.9651160602512773e-05,0.0,0.0,0.0,0
20260918,osi_target_t06h,C3_aligned_component,32982,0.01001049575133449,0.0032462450567294922,3.30512705073366,-5.5944208495866444e-05,0.01001049575133449,0.0032462450567294922,3.30512705073366,-5.5944208495866444e-05,0.0,0.0,0.0,0
20260918,osi_target_t06h,v18_rule,32982,0.01001049575133449,0.0032462450567294922,3.30512705073366,-5.5944208495866444e-05,0.01001049575133449,0.0032462450567294922,3.30512705073366,-5.5944208495866444e-05,0.0,0.0,0.0,0
20260918,osi_target_t24h,C0_direct_osi,28680,0.008226384409228592,0.002869898651939075,1.9408731248600906,3.959187710729487e-05,0.008226384409228592,0.002869898651939075,1.9408731248600906,3.959187710729487e-05,0.0,0.0,0.0,0
20260918,osi_target_t24h,C1_component_osi,28680,0.008094958237266874,0.002818108889202019,1.8793530453935594,-1.765012952478964e-05,0.008094958237266874,0.002818108889202019,1.8793530453935594,-1.765012952478964e-05,0.0,0.0,0.0,0
20260918,osi_target_t24h,C2_equal_blend,28680,0.008138086784558686,0.0028236708893098423,1.8994321327930908,-6.211636473420419e-07,0.008138086784558686,0.0028236708893098423,1.8994321327930908,-6.211636473420419e-07,0.0,0.0,0.0,0
20260918,osi_target_t24h,C3_aligned_component,28680,0.007856603329105922,0.0027102846330645763,1.7703078711779354,-2.2646388751735365e-05,0.007856603329105922,0.0027102846330645763,1.7703078711779354,-2.2646388751735365e-05,0.0,0.0,0.0,0
20260918,osi_target_t24h,v18_rule,28680,0.008094958237266874,0.002818108889202019,1.8793530453935594,-1.765012952478964e-05,0.008094958237266874,0.002818108889202019,1.8793530453935594,-1.765012952478964e-05,0.0,0.0,0.0,0
20260918,osi_target_t48h,C0_direct_osi,22944,0.0074109081985547385,0.0022779802965589716,1.2601202801519995,-4.1053581039796424e-05,0.0074109081985547385,0.0022779802965589716,1.2601202801519995,-4.1053581039796424e-05,0.0,0.0,0.0,0
20260918,osi_target_t48h,C1_component_osi,22944,0.007386039443917857,0.0022817618160767186,1.2516773089381812,9.232167604194413e-06,0.007386039443917857,0.0022817618160767186,1.2516773089381812,9.232167604194413e-06,0.0,0.0,0.0,0
20260918,osi_target_t48h,C2_equal_blend,22944,0.00738168056554288,0.002262974292109194,1.2502003877029932,-2.7401805582575556e-05,0.00738168056554288,0.002262974292109194,1.2502003877029932,-2.7401805582575556e-05,0.0,0.0,0.0,0
20260918,osi_target_t48h,C3_aligned_component,22944,0.006860012921890601,0.002158720126001388,1.079739530107482,2.5927869457105387e-05,0.006860012921890601,0.002158720126001388,1.079739530107482,2.5927869457105387e-05,0.0,0.0,0.0,0
20260918,osi_target_t48h,v18_rule,22944,0.007386039443917857,0.0022817618160767186,1.2516773089381812,9.232167604194413e-06,0.007386039443917857,0.0022817618160767186,1.2516773089381812,9.232167604194413e-06,0.0,0.0,0.0,0
