split_seed,model,window,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
42,C0_direct_osi,first_four_target_hours,956,0.030629408698867662,0.009311279519649737,0.89688160744361,-0.000761976044025115,0.030629408698867662,0.009311279519649737,0.89688160744361,-0.000761976044025115,0.0,0.0,0.0,0
42,C0_direct_osi,remaining_scoreable_hours,33221,0.011048653525273027,0.0034347527232515035,4.055378652393884,-0.00011357538406380468,0.011048653525273027,0.0034347527232515035,4.055378652393884,-0.00011357538406380468,0.0,0.0,0.0,0
42,C1_component_osi,first_four_target_hours,956,0.029981630423492518,0.008922195022052718,0.8593466436854529,-0.000910959623174227,0.0295791865696395,0.008854293317505832,0.8364314338841938,-0.0008063834675021734,-0.0004024438538530184,-1.3423014298037605,0.02291520980125905,54
42,C1_component_osi,remaining_scoreable_hours,33221,0.010954049684459252,0.0033854616823680676,3.986227804349062,-8.597024715549987e-05,0.010954049684459252,0.0033854616823680676,3.986227804349062,-8.597024715549987e-05,0.0,0.0,0.0,0
42,C1_component_osi,changed_final_predictions,54,0.05029183755049481,0.012631486308335906,0.1365805219070894,-0.010889353836369194,0.04587933289777666,0.01142937465006139,0.11366531210583063,-0.009037968561878764,-0.004412504652718148,-8.773798826276401,0.022915209801258787,54
42,C2_equal_blend,first_four_target_hours,956,0.030266794780667152,0.009059913708960057,0.8757713961780393,-0.0008385423030927296,0.030058224449755627,0.009027120867924225,0.8637429953607239,-0.0007867291114650342,-0.00020857033091152555,-0.6891061059585701,0.012028400817315488,56
42,C2_equal_blend,remaining_scoreable_hours,33221,0.010978377645901344,0.0033862019062643385,4.003953574726531,-0.00010859647701282192,0.010978377645901344,0.0033862019062643385,4.003953574726531,-0.00010859647701282192,0.0,0.0,0.0,0
42,C2_equal_blend,changed_final_predictions,56,0.04999709450096164,0.012091573893972788,0.13998372967813294,-0.010378254370914308,0.04780080111044493,0.011531753250575387,0.12795532886081754,-0.00949372917098436,-0.002196293390516711,-4.3928420490004,0.012028400817315404,56
42,C3_aligned_component,first_four_target_hours,956,0.029981630423492518,0.008922195022052718,0.8593466436854529,-0.000910959623174227,0.0295791865696395,0.008854293317505832,0.8364314338841938,-0.0008063834675021734,-0.0004024438538530184,-1.3423014298037605,0.02291520980125905,54
42,C3_aligned_component,remaining_scoreable_hours,33221,0.01081582309020784,0.003336718389620443,3.886259989351438,-9.02610431654454e-05,0.01081582309020784,0.003336718389620443,3.886259989351438,-9.02610431654454e-05,0.0,0.0,0.0,0
42,C3_aligned_component,changed_final_predictions,54,0.05029183755049481,0.012631486308335906,0.1365805219070894,-0.010889353836369194,0.04587933289777666,0.01142937465006139,0.11366531210583063,-0.009037968561878764,-0.004412504652718148,-8.773798826276401,0.022915209801258787,54
