comparison,horizon,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
C_minus_B,osi_target_t01h,34177,0.0163294826267756,0.005200667214711284,9.113365501683543,1.803971258607693e-05,0.016214526977589912,0.005206117393301599,8.985505320301634,-9.381187769767311e-05,-0.00011495564918568776,-0.7039760647235327,0.1278601813819087,31039
C_minus_A,osi_target_t01h,34177,0.016414137704847488,0.005210192178050882,9.208101197422746,8.514749031910849e-06,0.016214526977589912,0.005206117393301599,8.985505320301634,-9.381187769767311e-05,-0.00019961072725757645,-1.2160902439524834,0.22259587712111184,31062
B_minus_A,osi_target_t01h,34177,0.016414137704847488,0.005210192178050882,9.208101197422746,8.514749031910849e-06,0.0163294826267756,0.005200667214711284,9.113365501683543,1.803971258607693e-05,-8.465507807188868e-05,-0.5157448998791336,0.09473569573920315,109
C_minus_B,osi_target_t06h,32982,0.015602336525511512,0.005154964126675082,8.028904074534257,0.00014775089155777616,0.015602336525511512,0.005154964126675082,8.028904074534257,0.00014775089155777616,0.0,0.0,0.0,0
C_minus_A,osi_target_t06h,32982,0.015602336525511512,0.005154964126675082,8.028904074534257,0.00014775089155777616,0.015602336525511512,0.005154964126675082,8.028904074534257,0.00014775089155777616,0.0,0.0,0.0,0
B_minus_A,osi_target_t06h,32982,0.015602336525511512,0.005154964126675082,8.028904074534257,0.00014775089155777616,0.015602336525511512,0.005154964126675082,8.028904074534257,0.00014775089155777616,0.0,0.0,0.0,0
C_minus_B,osi_target_t24h,28680,0.01123222640699255,0.0042064642529646016,3.618352260461742,0.00013035895150828244,0.01123222640699255,0.0042064642529646016,3.618352260461742,0.00013035895150828244,0.0,0.0,0.0,0
C_minus_A,osi_target_t24h,28680,0.01123222640699255,0.0042064642529646016,3.618352260461742,0.00013035895150828244,0.01123222640699255,0.0042064642529646016,3.618352260461742,0.00013035895150828244,0.0,0.0,0.0,0
B_minus_A,osi_target_t24h,28680,0.01123222640699255,0.0042064642529646016,3.618352260461742,0.00013035895150828244,0.01123222640699255,0.0042064642529646016,3.618352260461742,0.00013035895150828244,0.0,0.0,0.0,0
C_minus_B,osi_target_t48h,22944,0.010356446554197115,0.0035412158131662933,2.460881325115773,0.00021793402603236786,0.010356446554197115,0.0035412158131662933,2.460881325115773,0.00021793402603236786,0.0,0.0,0.0,0
C_minus_A,osi_target_t48h,22944,0.010356446554197115,0.0035412158131662933,2.460881325115773,0.00021793402603236786,0.010356446554197115,0.0035412158131662933,2.460881325115773,0.00021793402603236786,0.0,0.0,0.0,0
B_minus_A,osi_target_t48h,22944,0.010356446554197115,0.0035412158131662933,2.460881325115773,0.00021793402603236786,0.010356446554197115,0.0035412158131662933,2.460881325115773,0.00021793402603236786,0.0,0.0,0.0,0
