split_seed,comparison,horizon,model,population,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions,counties,replicates,seed,ci_low,ci_high,bootstrap_fraction_delta_lt0,bootstrap_fraction_delta_eq0
42,C_minus_B,osi_target_t01h,C0_direct_osi,all_counties,34177,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
42,C_minus_A,osi_target_t01h,C0_direct_osi,all_counties,34177,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
42,B_minus_A,osi_target_t01h,C0_direct_osi,all_counties,34177,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
42,C_minus_B,osi_target_t01h,C1_component_osi,all_counties,34177,0.011878902534761171,0.0035384359938404534,4.822659238233256,-0.00010612166590645576,0.011745182099166654,0.0035086622025096146,4.714693312997921,-0.00013105281710270035,-0.00013372043559451742,-1.12569688321974,0.10796592523533466,17120,239,2000,20260910,-0.0003269442380601668,-9.178078507802568e-06,0.9835,0.0
42,C_minus_A,osi_target_t01h,C1_component_osi,all_counties,34177,0.011907090816672686,0.003540335342219387,4.845574448034514,-0.0001090468730581216,0.011745182099166654,0.0035086622025096146,4.714693312997921,-0.00013105281710270035,-0.00016190871750603256,-1.3597672176928643,0.13088113503659304,17141,239,2000,20260910,-0.000412137724865369,-9.288732234422046e-06,0.9835,0.0
42,B_minus_A,osi_target_t01h,C1_component_osi,all_counties,34177,0.011907090816672686,0.003540335342219387,4.845574448034514,-0.0001090468730581216,0.011878902534761171,0.0035384359938404534,4.822659238233256,-0.00010612166590645576,-2.8188281911515137e-05,-0.23673525586993538,0.022915209801258385,54,239,2000,20260910,-9.24197304672903e-05,2.317907916537874e-08,0.9615,0.0
42,C_minus_B,osi_target_t01h,C2_equal_blend,all_counties,34177,0.01193424034852952,0.0035439898492478313,4.867696570087254,-0.00012756522203246425,0.011856171679596652,0.0035267786869398643,4.8042201132869735,-0.00014354318548681427,-7.806866893286801e-05,-0.6541570024814147,0.0634764568002808,16765,239,2000,20260910,-0.0001834868709524169,-9.599090581209638e-06,0.995,0.0
42,C_minus_A,osi_target_t01h,C2_equal_blend,all_counties,34177,0.011948976400110755,0.0035449071315145674,4.8797249709045705,-0.00012901454207799425,0.011856171679596652,0.0035267786869398643,4.8042201132869735,-0.00014354318548681427,-9.280472051410339e-05,-0.7766750674412792,0.07550485761759695,16786,239,2000,20260910,-0.0002292197090785944,-9.736455690967582e-06,0.995,0.0
42,B_minus_A,osi_target_t01h,C2_equal_blend,all_counties,34177,0.011948976400110755,0.0035449071315145674,4.8797249709045705,-0.00012901454207799425,0.01193424034852952,0.0035439898492478313,4.867696570087254,-0.00012756522203246425,-1.473605158123538e-05,-0.1233248027931344,0.012028400817316154,56,239,2000,20260910,-4.803172338520073e-05,1.079057446113154e-08,0.963,0.0
42,C_minus_B,osi_target_t01h,C3_aligned_component,all_counties,34177,0.011755140271263249,0.003491056149841014,4.722691423235632,-0.00011029243965038886,0.011631455064359725,0.003472149878248777,4.62383185728728,-0.00011660144169487988,-0.00012368520690352394,-1.0521797617837558,0.09885956594835132,17044,239,2000,20260910,-0.0003203985116672356,-1.124653024893712e-05,0.995,0.0
42,C_minus_A,osi_target_t01h,C3_aligned_component,all_counties,34177,0.011783624615677923,0.0034929554982199478,4.745606633036891,-0.00011321764680205473,0.011631455064359725,0.003472149878248777,4.62383185728728,-0.00011660144169487988,-0.0001521695513181983,-1.291364552768759,0.1217747757496106,17065,239,2000,20260910,-0.0004141722340884926,-1.1330936044418654e-05,0.995,0.0
42,B_minus_A,osi_target_t01h,C3_aligned_component,all_counties,34177,0.011783624615677923,0.0034929554982199478,4.745606633036891,-0.00011321764680205473,0.011755140271263249,0.003491056149841014,4.722691423235632,-0.00011029243965038886,-2.848434441467436e-05,-0.2417282062496806,0.022915209801259273,54,239,2000,20260910,-9.325803639638301e-05,2.3541603280836668e-08,0.9615,0.0
42,C_minus_B,osi_target_t01h,v18_rule,all_counties,34177,0.011755140271263249,0.003491056149841014,4.722691423235632,-0.00011029243965038886,0.011631455064359725,0.003472149878248777,4.62383185728728,-0.00011660144169487988,-0.00012368520690352394,-1.0521797617837558,0.09885956594835132,17044,239,2000,20260910,-0.0003203985116672356,-1.124653024893712e-05,0.995,0.0
42,C_minus_B,osi_target_t01h,v18_rule,exclude_Morrow_diagnostic_only,34034,0.011335007148167394,0.0034217159330142068,4.372769560825867,-3.843627604002501e-05,0.011293730744089438,0.0034061208449240165,4.3409806841197724,-4.843697611748434e-05,-4.127640407795667e-05,-0.3641497842780783,0.03178887670609498,16901,238,2000,20260910,-8.854294635176371e-05,-1.1733762354223128e-06,0.977,0.0
42,C_minus_A,osi_target_t01h,v18_rule,all_counties,34177,0.011783624615677923,0.0034929554982199478,4.745606633036891,-0.00011321764680205473,0.011631455064359725,0.003472149878248777,4.62383185728728,-0.00011660144169487988,-0.0001521695513181983,-1.291364552768759,0.1217747757496106,17065,239,2000,20260910,-0.0004141722340884926,-1.1330936044418654e-05,0.995,0.0
42,C_minus_A,osi_target_t01h,v18_rule,exclude_Morrow_diagnostic_only,34034,0.011335123004986174,0.0034222507600559894,4.372858950757969,-4.000127218551757e-05,0.011293730744089438,0.0034061208449240165,4.3409806841197724,-4.843697611748434e-05,-4.139226089673598e-05,-0.36516816693147325,0.031878266638196706,16922,238,2000,20260910,-8.85576706429865e-05,-1.2634002147317166e-06,0.977,0.0
42,B_minus_A,osi_target_t01h,v18_rule,all_counties,34177,0.011783624615677923,0.0034929554982199478,4.745606633036891,-0.00011321764680205473,0.011755140271263249,0.003491056149841014,4.722691423235632,-0.00011029243965038886,-2.848434441467436e-05,-0.2417282062496806,0.022915209801259273,54,239,2000,20260910,-9.325803639638301e-05,2.3541603280836668e-08,0.9615,0.0
42,C_minus_B,osi_target_t06h,C0_direct_osi,all_counties,32982,0.01073393416160627,0.003461091435797809,3.8000983931614947,1.0093322570397718e-05,0.01073393416160627,0.003461091435797809,3.8000983931614947,1.0093322570397718e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
42,C_minus_A,osi_target_t06h,C0_direct_osi,all_counties,32982,0.01073393416160627,0.003461091435797809,3.8000983931614947,1.0093322570397718e-05,0.01073393416160627,0.003461091435797809,3.8000983931614947,1.0093322570397718e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
