split_seed,comparison,horizon,model,window,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
20260917,C_minus_B,osi_target_t01h,C1_component_osi,first_four_target_hours,956,0.033338653882732,0.009759186646446266,1.062561345633247,-3.130191217753219e-05,0.031239539481185442,0.00911234968955516,0.9329688386086961,0.00010883029022017305,-0.002099114401546559,-6.296338205286123,0.12959250702455094,672
20260917,C_minus_B,osi_target_t01h,C1_component_osi,later_target_hours,33221,0.01138148210466317,0.003435242141574476,4.303386379471972,-0.00015509039510747162,0.0115002025335472,0.0034653461072772433,4.393632003803065,-0.00013446561978450956,0.00011872042888402996,1.0431016610340071,-0.09024562433109296,16330
20260917,C_minus_B,osi_target_t01h,C1_component_osi,changed_predictions,17002,0.01743461287770245,0.006878254013617489,5.168025276773308,5.7880938372442136e-05,0.017368116649444265,0.006900704767283159,5.1286783940798495,0.00010606009650068153,-6.649622825818588e-05,-0.3814035259895543,0.03934688269345887,17002
20260917,C_minus_A,osi_target_t01h,C1_component_osi,first_four_target_hours,956,0.03371568131840141,0.009821323727800514,1.0867302914263854,-0.00012052603258804539,0.031239539481185442,0.00911234968955516,0.9329688386086961,0.00010883029022017305,-0.0024761418372159644,-7.3441844874258315,0.15376145281768938,692
20260917,C_minus_A,osi_target_t01h,C1_component_osi,later_target_hours,33221,0.01138148210466317,0.003435242141574476,4.303386379471972,-0.00015509039510747162,0.0115002025335472,0.0034653461072772433,4.393632003803065,-0.00013446561978450956,0.00011872042888402996,1.0431016610340071,-0.09024562433109296,16330
20260917,C_minus_A,osi_target_t01h,C1_component_osi,changed_predictions,17022,0.01746537549769777,0.00687596040839591,5.1923796671929505,5.4635696447316865e-05,0.017358224129683845,0.006894895002688535,5.128863838706354,0.00010776930622341699,-0.00010715136801392466,-0.6135073822377879,0.06351582848659643,17022
20260917,B_minus_A,osi_target_t01h,C1_component_osi,first_four_target_hours,956,0.03371568131840141,0.009821323727800514,1.0867302914263854,-0.00012052603258804539,0.033338653882732,0.009759186646446266,1.062561345633247,-3.130191217753219e-05,-0.00037702743566940533,-1.1182554257434862,0.02416894579313844,55
20260917,B_minus_A,osi_target_t01h,C1_component_osi,later_target_hours,33221,0.01138148210466317,0.003435242141574476,4.303386379471972,-0.00015509039510747162,0.01138148210466317,0.003435242141574476,4.303386379471972,-0.00015509039510747162,0.0,0.0,0.0,0
20260917,B_minus_A,osi_target_t01h,C1_component_osi,changed_predictions,55,0.05144381691329869,0.011997541714746512,0.1455556464234948,-0.009845682148434492,0.04697904767608573,0.010917486264298169,0.12138670063035648,-0.0082948047100263,-0.004464769237212958,-8.67892295926972,0.02416894579313833,55
20260917,C_minus_B,osi_target_t01h,C3_aligned_component,first_four_target_hours,956,0.033338653882732,0.009759186646446266,1.062561345633247,-3.130191217753219e-05,0.031239539481185442,0.00911234968955516,0.9329688386086961,0.00010883029022017305,-0.002099114401546559,-6.296338205286123,0.12959250702455094,672
20260917,C_minus_B,osi_target_t01h,C3_aligned_component,later_target_hours,33221,0.011319418517030942,0.003401208855414232,4.256581334661776,-0.00017749213712022868,0.011384086356154682,0.0034140321692973184,4.305355961723107,-0.00017469800440945334,6.466783912374013e-05,0.571300010035336,-0.04877462706133073,16052
20260917,C_minus_B,osi_target_t01h,C3_aligned_component,changed_predictions,16724,0.017504153133325505,0.0069257313537952345,5.124156283524939,-1.4376020443488771e-05,0.017365567302632806,0.006914228554209139,5.043338403561718,-8.152533855555748e-07,-0.00013858583069269875,-0.7917311373884739,0.0808178799632211,16724
20260917,C_minus_A,osi_target_t01h,C3_aligned_component,first_four_target_hours,956,0.03371568131840141,0.009821323727800514,1.0867302914263854,-0.00012052603258804539,0.031239539481185442,0.00911234968955516,0.9329688386086961,0.00010883029022017305,-0.0024761418372159644,-7.3441844874258315,0.15376145281768938,692
20260917,C_minus_A,osi_target_t01h,C3_aligned_component,later_target_hours,33221,0.011319418517030942,0.003401208855414232,4.256581334661776,-0.00017749213712022868,0.011384086356154682,0.0034140321692973184,4.305355961723107,-0.00017469800440945334,6.466783912374013e-05,0.571300010035336,-0.04877462706133073,16052
20260917,C_minus_A,osi_target_t01h,C3_aligned_component,changed_predictions,16744,0.01753521927638051,0.006923342958257414,5.148510673944582,-1.7588835115799154e-05,0.01735551205999298,0.006908306176720593,5.043523848188222,1.0499923680354995e-06,-0.0001797072163875306,-1.024835866350371,0.10498682575635954,16744
