split_seed,comparison,horizon,model,fipsCode,countyName,fold,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
20260917,C_minus_B,osi_target_t06h,v18_rule,39115,Morgan County,0,138,0.032299862992607294,0.007317015552366379,0.1439727986090859,-0.007121883005422576,0.032302940229462146,0.007348851725233765,0.14400023275061213,-0.007155855508224357,3.0772368548523388e-06,0.00952708949741865,-2.743414152622803e-05,82
20260917,C_minus_B,osi_target_t06h,v18_rule,39117,Morrow County,4,138,0.02837433655992697,0.012854628409012674,0.11110421057980914,-0.010274590417669326,0.029075867659811176,0.0134308755983631,0.11666603906357778,-0.01063112459077441,0.0007015310998842068,2.4724141070314065,-0.005561828483768641,138
20260917,C_minus_B,osi_target_t06h,v18_rule,39119,Muskingum County,3,138,0.006079990714444479,0.003863619564986721,0.00510134761810689,0.003303722281321189,0.0064061512292928864,0.004031110919052472,0.005663350753014764,0.0035720215331550426,0.00032616051484840765,5.364490344920014,-0.0005620031349078741,89
20260917,C_minus_B,osi_target_t06h,v18_rule,42053,Forest County,3,138,0.0728661832220604,0.025053362261279237,0.732708330714421,-0.020281771874320172,0.07324587185296709,0.02513744069765617,0.7403641686031761,-0.02049067873583143,0.000379688630906691,0.5210766011300327,-0.007655837888755124,114
20260917,C_minus_B,osi_target_t06h,v18_rule,54013,Calhoun County,4,138,0.045469730714210954,0.02316298243602555,0.2853145047487545,-0.021707770885818312,0.045550689555624,0.023173236044894,0.286331414021011,-0.021784421173216384,8.095884141304244e-05,0.17804996893844294,-0.00101690927225645,87
20260917,C_minus_B,osi_target_t06h,v18_rule,54015,Clay County,4,138,0.050939305742431995,0.027167382333744116,0.3580841759938932,-0.02475645040212483,0.050851248913439596,0.02712433039934823,0.3568472332158097,-0.024716104045702295,-8.805682899239858e-05,-0.17286617418315053,0.0012369427780835052,91
20260918,C_minus_B,osi_target_t01h,v18_rule,18013,Brown County,2,143,0.02950764075102276,0.013241793964611958,0.12451022336487293,-0.009679245123550324,0.029481629793989984,0.013039058457973119,0.12429080882931254,-0.009931289010962898,-2.6010957032775867e-05,-0.08814990412906454,0.0002194145355603888,91
20260918,C_minus_B,osi_target_t01h,v18_rule,39115,Morgan County,2,143,0.031695161655421314,0.006849822931956215,0.1436554079479504,-0.0064430882466016024,0.031700904225766886,0.006878134527388246,0.143707468008568,-0.006441880895833021,5.742570345572406e-06,0.01811812922112299,-5.20600606176147e-05,90
20260918,C_minus_B,osi_target_t01h,v18_rule,39117,Morrow County,1,143,0.044982534937451434,0.018438474467254298,0.2893502682640625,-0.014972971822860087,0.04118907919740621,0.018058803551441672,0.2426052550536188,-0.014741049686281413,-0.0037934557400452207,-8.433174665056232,0.04674501321044372,143
20260918,C_minus_B,osi_target_t01h,v18_rule,39119,Muskingum County,1,143,0.0285034641477874,0.019773959044195773,0.11617998798466085,0.01976277023300696,0.02939166842249954,0.020478878344943757,0.1235334346901164,0.020476081142146555,0.000888204274712142,3.116127464742169,-0.007353446705455555,140
20260918,C_minus_B,osi_target_t01h,v18_rule,42053,Forest County,2,143,0.09794362810702269,0.03559066246564284,1.3717924630076475,-0.03104579184728525,0.09750564159512064,0.0354728084153801,1.3595510704312852,-0.03117504655739511,-0.00043798651190204985,-0.4471822418334992,0.012241392576362253,133
20260918,C_minus_B,osi_target_t01h,v18_rule,54013,Calhoun County,0,143,0.03435952365314834,0.026653901333148558,0.1688224917909902,0.004228898264925538,0.03443493668758468,0.026813515718776014,0.16956437564894905,0.004491040002519821,7.5413034436346e-05,0.21948218839593636,-0.0007418838579588416,143
20260918,C_minus_B,osi_target_t01h,v18_rule,54015,Clay County,3,143,0.03671653203340829,0.025836823302788928,0.19277883261212253,-0.004749237894958788,0.03673340673144277,0.02584680977232436,0.19295607332395756,-0.004767993147524527,1.6874698034477498e-05,0.045959400574990816,-0.00017724071183503054,130
20260918,C_minus_B,osi_target_t06h,v18_rule,18013,Brown County,2,138,0.029991567809323362,0.013408116989475716,0.1241301912732513,-0.010343394529417085,0.029978297127002375,0.01324539573241461,0.12402036521160775,-0.010557210702787204,-1.327068232098716e-05,-0.04424804466828247,0.0001098260616435448,86
20260918,C_minus_B,osi_target_t06h,v18_rule,39115,Morgan County,2,138,0.03225002289709189,0.0069390317261699835,0.14352882880708726,-0.006585980196510674,0.032254502062426846,0.0069639976398339,0.1435687006547235,-0.006557482635228444,4.479165334955737e-06,0.01388887489863766,-3.987184763623586e-05,85
20260918,C_minus_B,osi_target_t06h,v18_rule,39117,Morrow County,1,138,0.025104095249331507,0.011918508615595343,0.0869697525636762,-0.00832744428118685,0.026349805477094493,0.012534242107326265,0.09581509031793921,-0.009096279768790641,0.0012457102277629861,4.962179339230155,-0.008845337754263008,138
20260918,C_minus_B,osi_target_t06h,v18_rule,39119,Muskingum County,1,138,0.028498674738633708,0.019461235770558555,0.1120800757364646,0.019449641567660002,0.029160852396475652,0.019950448950323777,0.11734903312348749,0.01994755039959914,0.000662177657841944,2.323538423856153,-0.005268957387022891,135
20260918,C_minus_B,osi_target_t06h,v18_rule,42053,Forest County,2,138,0.0724005088818317,0.024989872940227486,0.7233730487160501,-0.020280333096567092,0.07234237704472252,0.02492312028436704,0.7222118932743499,-0.020469642417034764,-5.8131837109176576e-05,-0.0802920283392683,0.0011611554417002568,128
20260918,C_minus_B,osi_target_t06h,v18_rule,54013,Calhoun County,0,138,0.03478238220099863,0.026919871784866073,0.16695434739753579,0.0036823686054755517,0.0347296017724779,0.026880616156162548,0.1664480430199362,0.003749355087868087,-5.278042852072812e-05,-0.15174472011642015,0.0005063043775995757,138
20260918,C_minus_B,osi_target_t06h,v18_rule,54015,Clay County,3,138,0.03734523103308939,0.026505866036572966,0.19246394676624562,-0.005188385784281557,0.03736751449512572,0.026536094807931638,0.19269369725699348,-0.005187940101766848,2.2283462036330748e-05,0.059668828977343935,-0.0002297504907478598,125
