split_seed,comparison,horizon,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
42,C_minus_B,osi_target_t01h,34177,0.017107714939321023,0.005317616740693066,10.002716237281078,6.325545767391903e-05,0.016800214441568324,0.005235532145498745,9.646362734946184,-5.016527907135945e-05,-0.0003075004977526989,-1.7974375820696387,0.35635350233489405,31146
42,C_minus_A,osi_target_t01h,34177,0.017218970139467167,0.005328790864185789,10.133238959652811,5.208133004586173e-05,0.016800214441568324,0.005235532145498745,9.646362734946184,-5.016527907135945e-05,-0.0004187556978988427,-2.4319439229354534,0.48687622470662717,31176
42,B_minus_A,osi_target_t01h,34177,0.017218970139467167,0.005328790864185789,10.133238959652811,5.208133004586173e-05,0.017107714939321023,0.005317616740693066,10.002716237281078,6.325545767391903e-05,-0.00011125520014614379,-0.6461199435565446,0.13052272237173312,92
42,C_minus_B,osi_target_t06h,32982,0.016296376970574414,0.005225002044269115,8.75909248387064,0.00010136850569480317,0.016296376970574414,0.005225002044269115,8.75909248387064,0.00010136850569480317,0.0,0.0,0.0,0
42,C_minus_A,osi_target_t06h,32982,0.016296376970574414,0.005225002044269115,8.75909248387064,0.00010136850569480317,0.016296376970574414,0.005225002044269115,8.75909248387064,0.00010136850569480317,0.0,0.0,0.0,0
42,B_minus_A,osi_target_t06h,32982,0.016296376970574414,0.005225002044269115,8.75909248387064,0.00010136850569480317,0.016296376970574414,0.005225002044269115,8.75909248387064,0.00010136850569480317,0.0,0.0,0.0,0
42,C_minus_B,osi_target_t24h,28680,0.011869221080777382,0.004206265141479865,4.040392771966138,6.098169963908785e-05,0.011869221080777382,0.004206265141479865,4.040392771966138,6.098169963908785e-05,0.0,0.0,0.0,0
42,C_minus_A,osi_target_t24h,28680,0.011869221080777382,0.004206265141479865,4.040392771966138,6.098169963908785e-05,0.011869221080777382,0.004206265141479865,4.040392771966138,6.098169963908785e-05,0.0,0.0,0.0,0
42,B_minus_A,osi_target_t24h,28680,0.011869221080777382,0.004206265141479865,4.040392771966138,6.098169963908785e-05,0.011869221080777382,0.004206265141479865,4.040392771966138,6.098169963908785e-05,0.0,0.0,0.0,0
42,C_minus_B,osi_target_t48h,22944,0.010763194705870784,0.0034636896019560417,2.657978890183669,-2.660872592556285e-05,0.010763194705870784,0.0034636896019560417,2.657978890183669,-2.660872592556285e-05,0.0,0.0,0.0,0
42,C_minus_A,osi_target_t48h,22944,0.010763194705870784,0.0034636896019560417,2.657978890183669,-2.660872592556285e-05,0.010763194705870784,0.0034636896019560417,2.657978890183669,-2.660872592556285e-05,0.0,0.0,0.0,0
42,B_minus_A,osi_target_t48h,22944,0.010763194705870784,0.0034636896019560417,2.657978890183669,-2.660872592556285e-05,0.010763194705870784,0.0034636896019560417,2.657978890183669,-2.660872592556285e-05,0.0,0.0,0.0,0
20260917,C_minus_B,osi_target_t01h,34177,0.017916634952049714,0.005337988882091109,10.971015500187207,-7.598713290387676e-05,0.018025003219205,0.005408645024203529,11.104132626946186,1.2851593393923809e-05,0.00010836826715528505,0.6048472129130955,-0.1331171267589788,31217
20260917,C_minus_A,osi_target_t01h,34177,0.018025750397208582,0.005347997349015246,11.10505322990052,-8.599560044246262e-05,0.018025003219205,0.005408645024203529,11.104132626946186,1.2851593393923809e-05,-7.471780035829545e-07,-0.0041450590800296006,0.0009206029543342709,31253
20260917,B_minus_A,osi_target_t01h,34177,0.018025750397208582,0.005347997349015246,11.10505322990052,-8.599560044246262e-05,0.017916634952049714,0.005337988882091109,10.971015500187207,-7.598713290387676e-05,-0.00010911544515886801,-0.6053309446455324,0.13403772971331307,90
20260917,C_minus_B,osi_target_t06h,32982,0.01760725470280226,0.005390201631973443,10.224928522061576,3.4362233117243405e-05,0.01760725470280226,0.005390201631973443,10.224928522061576,3.4362233117243405e-05,0.0,0.0,0.0,0
20260917,C_minus_A,osi_target_t06h,32982,0.01760725470280226,0.005390201631973443,10.224928522061576,3.4362233117243405e-05,0.01760725470280226,0.005390201631973443,10.224928522061576,3.4362233117243405e-05,0.0,0.0,0.0,0
20260917,B_minus_A,osi_target_t06h,32982,0.01760725470280226,0.005390201631973443,10.224928522061576,3.4362233117243405e-05,0.01760725470280226,0.005390201631973443,10.224928522061576,3.4362233117243405e-05,0.0,0.0,0.0,0
20260917,C_minus_B,osi_target_t24h,28680,0.012238702883352682,0.004377302733260706,4.295858128297136,-3.575208048870743e-05,0.012238702883352682,0.004377302733260706,4.295858128297136,-3.575208048870743e-05,0.0,0.0,0.0,0
20260917,C_minus_A,osi_target_t24h,28680,0.012238702883352682,0.004377302733260706,4.295858128297136,-3.575208048870743e-05,0.012238702883352682,0.004377302733260706,4.295858128297136,-3.575208048870743e-05,0.0,0.0,0.0,0
20260917,B_minus_A,osi_target_t24h,28680,0.012238702883352682,0.004377302733260706,4.295858128297136,-3.575208048870743e-05,0.012238702883352682,0.004377302733260706,4.295858128297136,-3.575208048870743e-05,0.0,0.0,0.0,0
20260917,C_minus_B,osi_target_t48h,22944,0.011099725330034749,0.0034880500095017335,2.8267903367164213,-0.0002326251084043849,0.011099725330034749,0.0034880500095017335,2.8267903367164213,-0.0002326251084043849,0.0,0.0,0.0,0
20260917,C_minus_A,osi_target_t48h,22944,0.011099725330034749,0.0034880500095017335,2.8267903367164213,-0.0002326251084043849,0.011099725330034749,0.0034880500095017335,2.8267903367164213,-0.0002326251084043849,0.0,0.0,0.0,0
20260917,B_minus_A,osi_target_t48h,22944,0.011099725330034749,0.0034880500095017335,2.8267903367164213,-0.0002326251084043849,0.011099725330034749,0.0034880500095017335,2.8267903367164213,-0.0002326251084043849,0.0,0.0,0.0,0
20260918,C_minus_B,osi_target_t01h,34177,0.0163294826267756,0.005200667214711284,9.113365501683543,1.803971258607693e-05,0.016214526977589912,0.005206117393301599,8.985505320301634,-9.381187769767311e-05,-0.00011495564918568776,-0.7039760647235327,0.1278601813819087,31039
20260918,C_minus_A,osi_target_t01h,34177,0.016414137704847488,0.005210192178050882,9.208101197422746,8.514749031910849e-06,0.016214526977589912,0.005206117393301599,8.985505320301634,-9.381187769767311e-05,-0.00019961072725757645,-1.2160902439524834,0.22259587712111184,31062
20260918,B_minus_A,osi_target_t01h,34177,0.016414137704847488,0.005210192178050882,9.208101197422746,8.514749031910849e-06,0.0163294826267756,0.005200667214711284,9.113365501683543,1.803971258607693e-05,-8.465507807188868e-05,-0.5157448998791336,0.09473569573920315,109
20260918,C_minus_B,osi_target_t06h,32982,0.015602336525511512,0.005154964126675082,8.028904074534257,0.00014775089155777616,0.015602336525511512,0.005154964126675082,8.028904074534257,0.00014775089155777616,0.0,0.0,0.0,0
20260918,C_minus_A,osi_target_t06h,32982,0.015602336525511512,0.005154964126675082,8.028904074534257,0.00014775089155777616,0.015602336525511512,0.005154964126675082,8.028904074534257,0.00014775089155777616,0.0,0.0,0.0,0
20260918,B_minus_A,osi_target_t06h,32982,0.015602336525511512,0.005154964126675082,8.028904074534257,0.00014775089155777616,0.015602336525511512,0.005154964126675082,8.028904074534257,0.00014775089155777616,0.0,0.0,0.0,0
20260918,C_minus_B,osi_target_t24h,28680,0.01123222640699255,0.0042064642529646016,3.618352260461742,0.00013035895150828244,0.01123222640699255,0.0042064642529646016,3.618352260461742,0.00013035895150828244,0.0,0.0,0.0,0
20260918,C_minus_A,osi_target_t24h,28680,0.01123222640699255,0.0042064642529646016,3.618352260461742,0.00013035895150828244,0.01123222640699255,0.0042064642529646016,3.618352260461742,0.00013035895150828244,0.0,0.0,0.0,0
