cv_seed,pair,candidate,reference,horizon,fold,n,rmse,mae,sse,sae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
42,I3_minus_I1,I3,I1,1,0,6864,0.006479607930654,0.002632071565653388,0.2881872291698003,18.066539226644856,0.00014733745884821795,0.006479607930654,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,1,1,6721,0.009481489999115742,0.003281937606980402,0.6042088441469934,22.05790265651528,-0.0004995166999688342,0.009481489999115742,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,1,2,6864,0.01248928281901675,0.003829731767894336,1.0706617201283681,26.287278854826724,-0.0005984563187079363,0.01248928281901675,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,1,3,6864,0.015263495703562108,0.0035166221630284983,1.599135602700011,24.13809452702761,0.0003060833784109775,0.015263495703562108,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,1,4,6864,0.008135527488850472,0.0028772292543106427,0.45430624682992127,19.74930160158825,1.92815207945942e-05,0.008135527488850472,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,6,0,6624,0.006388329605056966,0.0025533194338039043,0.2703304420662205,16.91318792951706,0.00014680153290393618,0.006388329605056966,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,6,1,6486,0.009175530588236936,0.0031589291119314164,0.5460586851798064,20.488814219987166,-0.0004522798033117568,0.009175530588236936,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,6,2,6624,0.012539288368735009,0.003768545485905885,1.0415163785093973,24.96284529864058,-0.0007440194997599664,0.012539288368735009,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,6,3,6624,0.012031875504081455,0.0032402274375525875,0.9589301704372185,21.46326654634834,0.0004560699186745417,0.012031875504081455,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,6,4,6624,0.007978413080888645,0.0027825707689439977,0.4216512187162903,18.43174877348504,4.779296871474965e-05,0.007978413080888645,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,24,0,5760,0.0045283712904999945,0.0019339837317752717,0.11811540409703761,11.139746295025565,0.00018267119528082152,0.0045851814325180325,-5.6810142018037975e-05,-1.2389944183046175,0.00298219521302516
42,I3_minus_I1,I3,I1,24,1,5640,0.00883238826422003,0.002762389204854713,0.4399825050176148,15.579875115380581,-0.0006707661125986085,0.00870754418220506,0.00012484408201497016,1.4337461792051975,-0.0123502281539149
42,I3_minus_I1,I3,I1,24,2,5760,0.012795622088258915,0.0036476534688132185,0.9430729610431072,21.01048398036414,-0.0011040298529456866,0.01297325098916932,-0.00017762890091040442,-1.3691934354673085,0.026365228430073273
42,I3_minus_I1,I3,I1,24,3,5760,0.0061394562139773096,0.0027136120941154587,0.2171112341952649,15.630405662105042,0.0009516051085383115,0.006039680323082008,9.977589089530184e-05,1.6520061585707735,-0.006999460982326761
42,I3_minus_I1,I3,I1,24,4,5760,0.007362997685572074,0.00236125712013977,0.31227111312618083,13.600841012005075,-0.00045270838689813296,0.0073615990907342655,1.3985948378088947e-06,0.018998519487012366,-0.00011861997143136627
42,I3_minus_I1,I3,I1,48,0,4608,0.0036050626751581005,0.0014543949944725942,0.059887765517497714,6.701852134529714,0.00023285689088118638,0.0036050626751581005,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,48,1,4512,0.005845619094492325,0.0018744117663456836,0.15418073684169442,8.457345889751725,-0.0004592966937356983,0.005845619094492325,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,48,2,4608,0.013015180327829739,0.0031744122937563835,0.780571786594988,14.627691849629416,-0.001336450300369274,0.013015180327829739,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,48,3,4608,0.00540705599166044,0.0020996962758472737,0.13472066072195055,9.675400439104237,0.0003723134023332147,0.00540705599166044,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,48,4,4608,0.006869148587206297,0.0019262112768916456,0.21742941225884896,8.875981563916703,-0.000494284364006795,0.006869148587206297,0.0,0.0,0.0
42,I3_minus_I2,I3,I2,1,0,6864,0.006479607930654,0.002632071565653388,0.2881872291698003,18.066539226644856,0.00014733745884821795,0.006479607930654,0.0,0.0,0.0
42,I3_minus_I2,I3,I2,1,1,6721,0.009481489999115742,0.003281937606980402,0.6042088441469934,22.05790265651528,-0.0004995166999688342,0.009481489999115742,0.0,0.0,0.0
42,I3_minus_I2,I3,I2,1,2,6864,0.01248928281901675,0.003829731767894336,1.0706617201283681,26.287278854826724,-0.0005984563187079363,0.01248928281901675,0.0,0.0,0.0
42,I3_minus_I2,I3,I2,1,3,6864,0.015263495703562108,0.0035166221630284983,1.599135602700011,24.13809452702761,0.0003060833784109775,0.015263495703562108,0.0,0.0,0.0
42,I3_minus_I2,I3,I2,1,4,6864,0.008135527488850472,0.0028772292543106427,0.45430624682992127,19.74930160158825,1.92815207945942e-05,0.008135527488850472,0.0,0.0,0.0
42,I3_minus_I2,I3,I2,6,0,6624,0.006388329605056966,0.0025533194338039043,0.2703304420662205,16.91318792951706,0.00014680153290393618,0.006388329605056966,0.0,0.0,0.0
42,I3_minus_I2,I3,I2,6,1,6486,0.009175530588236936,0.0031589291119314164,0.5460586851798064,20.488814219987166,-0.0004522798033117568,0.009175530588236936,0.0,0.0,0.0
42,I3_minus_I2,I3,I2,6,2,6624,0.012539288368735009,0.003768545485905885,1.0415163785093973,24.96284529864058,-0.0007440194997599664,0.012539288368735009,0.0,0.0,0.0
42,I3_minus_I2,I3,I2,6,3,6624,0.012031875504081455,0.0032402274375525875,0.9589301704372185,21.46326654634834,0.0004560699186745417,0.012031875504081455,0.0,0.0,0.0
42,I3_minus_I2,I3,I2,6,4,6624,0.007978413080888645,0.0027825707689439977,0.4216512187162903,18.43174877348504,4.779296871474965e-05,0.007978413080888645,0.0,0.0,0.0
42,I3_minus_I2,I3,I2,24,0,5760,0.0045283712904999945,0.0019339837317752717,0.11811540409703761,11.139746295025565,0.00018267119528082152,0.004573130116166147,-4.475882566615241e-05,-0.9787350136382211,0.0023464656850245846
42,I3_minus_I2,I3,I2,24,1,5640,0.00883238826422003,0.002762389204854713,0.4399825050176148,15.579875115380581,-0.0006707661125986085,0.008988597507955515,-0.00015620924373548582,-1.737860034307137,0.015700647284921043
42,I3_minus_I2,I3,I2,24,2,5760,0.012795622088258915,0.0036476534688132185,0.9430729610431072,21.01048398036414,-0.0011040298529456866,0.012653558257365959,0.00014206383089295643,1.1227184322659456,-0.020824750385194823
42,I3_minus_I2,I3,I2,24,3,5760,0.0061394562139773096,0.0027136120941154587,0.2171112341952649,15.630405662105042,0.0009516051085383115,0.006328362848855007,-0.00018890663487769726,-2.98507907004536,0.013566261562120291
42,I3_minus_I2,I3,I2,24,4,5760,0.007362997685572074,0.00236125712013977,0.31227111312618083,13.600841012005075,-0.00045270838689813296,0.007413432666777534,-5.043498120546001e-05,-0.6803188680930328,0.00429263416572212
42,I3_minus_I2,I3,I2,48,0,4608,0.0036050626751581005,0.0014543949944725942,0.059887765517497714,6.701852134529714,0.00023285689088118638,0.0036050626751581005,0.0,0.0,0.0
42,I3_minus_I2,I3,I2,48,1,4512,0.005845619094492325,0.0018744117663456836,0.15418073684169442,8.457345889751725,-0.0004592966937356983,0.005845619094492325,0.0,0.0,0.0
42,I3_minus_I2,I3,I2,48,2,4608,0.013015180327829739,0.0031744122937563835,0.780571786594988,14.627691849629416,-0.001336450300369274,0.013015180327829739,0.0,0.0,0.0
42,I3_minus_I2,I3,I2,48,3,4608,0.00540705599166044,0.0020996962758472737,0.13472066072195055,9.675400439104237,0.0003723134023332147,0.00540705599166044,0.0,0.0,0.0
42,I3_minus_I2,I3,I2,48,4,4608,0.006869148587206297,0.0019262112768916456,0.21742941225884896,8.875981563916703,-0.000494284364006795,0.006869148587206297,0.0,0.0,0.0
42,I2_minus_I1,I2,I1,1,0,6864,0.006479607930654,0.002632071565653388,0.2881872291698003,18.066539226644856,0.00014733745884821795,0.006479607930654,0.0,0.0,0.0
42,I2_minus_I1,I2,I1,1,1,6721,0.009481489999115742,0.003281937606980402,0.6042088441469934,22.05790265651528,-0.0004995166999688342,0.009481489999115742,0.0,0.0,0.0
42,I2_minus_I1,I2,I1,1,2,6864,0.01248928281901675,0.003829731767894336,1.0706617201283681,26.287278854826724,-0.0005984563187079363,0.01248928281901675,0.0,0.0,0.0
42,I2_minus_I1,I2,I1,1,3,6864,0.015263495703562108,0.0035166221630284983,1.599135602700011,24.13809452702761,0.0003060833784109775,0.015263495703562108,0.0,0.0,0.0
42,I2_minus_I1,I2,I1,1,4,6864,0.008135527488850472,0.0028772292543106427,0.45430624682992127,19.74930160158825,1.92815207945942e-05,0.008135527488850472,0.0,0.0,0.0
