case,horizon,mode,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
B0,osi_target_t01h,C0_direct_osi,34177,0.011412584634342813,0.0034878304326271497,4.4514547278076595,-6.92958228133906e-05,0.011412584634342813,0.0,0.0,0.0
B0,osi_target_t01h,C1_component_osi,34177,0.01047865232704977,0.0032423390582886863,3.75270823746295,9.473764088963415e-06,0.01047865232704977,0.0,0.0,0.0
B0,osi_target_t01h,C2_equal_blend,34177,0.010740779394613055,0.0032928172121609732,3.942807116661971,-4.312142885971425e-05,0.010740779394613055,0.0,0.0,0.0
B0,osi_target_t01h,C3_aligned_component,34177,0.010568981397635607,0.003237175185704826,3.8176860007389863,-5.9808134210907505e-05,0.010568981397635607,0.0,0.0,0.0
B0,osi_target_t01h,v18_rule,34177,0.010568981397635607,0.003237175185704826,3.8176860007389863,-5.9808134210907505e-05,0.010568981397635607,0.0,0.0,0.0
B0,osi_target_t06h,C0_direct_osi,32982,0.010164473717052333,0.003360910998166614,3.407585658706369,-3.386428560855574e-05,0.010164473717052333,0.0,0.0,0.0
B0,osi_target_t06h,C1_component_osi,32982,0.009725110236207724,0.0032213364975922903,3.1193639806670292,1.7058273053318117e-05,0.009725110236207724,0.0,0.0,0.0
B0,osi_target_t06h,C2_equal_blend,32982,0.009798750951694454,0.0032322773104968188,3.166783887676148,-2.6633387410039298e-05,0.009798750951694454,0.0,0.0,0.0
B0,osi_target_t06h,C3_aligned_component,32982,0.009565806358452486,0.0031046438593865,3.0180064087613574,-4.0402717082119965e-05,0.009565806358452486,0.0,0.0,0.0
B0,osi_target_t06h,v18_rule,32982,0.009565806358452486,0.0031046438593865,3.0180064087613574,-4.0402717082119965e-05,0.009565806358452486,0.0,0.0,0.0
B0,osi_target_t24h,C0_direct_osi,28680,0.008226384409228592,0.002869898651939075,1.9408731248600906,3.959187710729487e-05,0.008226384409228592,0.0,0.0,0.0
B0,osi_target_t24h,C1_component_osi,28680,0.008094958237266874,0.002818108889202019,1.8793530453935594,-1.765012952478964e-05,0.008094958237266874,0.0,0.0,0.0
B0,osi_target_t24h,C2_equal_blend,28680,0.008138086784558686,0.0028236708893098423,1.8994321327930908,-6.211636473420419e-07,0.008138086784558686,0.0,0.0,0.0
B0,osi_target_t24h,C3_aligned_component,28680,0.007775737635326896,0.0026784070134987553,1.7340529067822334,1.0838383152330688e-05,0.007775737635326896,0.0,0.0,0.0
B0,osi_target_t24h,v18_rule,28680,0.008094958237266874,0.002818108889202019,1.8793530453935594,-1.765012952478964e-05,0.008094958237266874,0.0,0.0,0.0
B0,osi_target_t48h,C0_direct_osi,22944,0.0074109081985547385,0.0022779802965589716,1.2601202801519995,-4.1053581039796424e-05,0.0074109081985547385,0.0,0.0,0.0
B0,osi_target_t48h,C1_component_osi,22944,0.007386039443917857,0.0022817618160767186,1.2516773089381812,9.232167604194413e-06,0.007386039443917857,0.0,0.0,0.0
B0,osi_target_t48h,C2_equal_blend,22944,0.00738168056554288,0.002262974292109194,1.2502003877029932,-2.7401805582575556e-05,0.00738168056554288,0.0,0.0,0.0
B0,osi_target_t48h,C3_aligned_component,22944,0.006817160893200843,0.002158246368294487,1.0662921745790472,5.3836502822170766e-05,0.006817160893200843,0.0,0.0,0.0
B0,osi_target_t48h,v18_rule,22944,0.007386039443917857,0.0022817618160767186,1.2516773089381812,9.232167604194413e-06,0.007386039443917857,0.0,0.0,0.0
NB_P24,osi_target_t01h,C0_direct_osi,34177,0.011412584634342813,0.0034878304326271497,4.4514547278076595,-6.92958228133906e-05,0.011412584634342813,0.0,0.0,0.0
NB_P24,osi_target_t01h,C1_component_osi,34177,0.01047865232704977,0.0032423390582886863,3.75270823746295,9.473764088963415e-06,0.01047865232704977,0.0,0.0,0.0
NB_P24,osi_target_t01h,C2_equal_blend,34177,0.010740779394613055,0.0032928172121609732,3.942807116661971,-4.312142885971425e-05,0.010740779394613055,0.0,0.0,0.0
NB_P24,osi_target_t01h,C3_aligned_component,34177,0.01055449106533266,0.003229156298840456,3.8072248948900858,-5.968048855843743e-05,0.010568981397635607,-1.449033230294626e-05,-0.1371024487391792,0.010461105848900587
NB_P24,osi_target_t01h,v18_rule,34177,0.01055449106533266,0.003229156298840456,3.8072248948900858,-5.968048855843743e-05,0.010568981397635607,-1.449033230294626e-05,-0.1371024487391792,0.010461105848900587
NB_P24,osi_target_t06h,C0_direct_osi,32982,0.010164473717052333,0.003360910998166614,3.407585658706369,-3.386428560855574e-05,0.010164473717052333,0.0,0.0,0.0
NB_P24,osi_target_t06h,C1_component_osi,32982,0.009725110236207724,0.0032213364975922903,3.1193639806670292,1.7058273053318117e-05,0.009725110236207724,0.0,0.0,0.0
NB_P24,osi_target_t06h,C2_equal_blend,32982,0.009798750951694454,0.0032322773104968188,3.166783887676148,-2.6633387410039298e-05,0.009798750951694454,0.0,0.0,0.0
NB_P24,osi_target_t06h,C3_aligned_component,32982,0.00954921332229313,0.0030963344331429855,3.0075453029124564,-4.027044658716905e-05,0.009565806358452486,-1.6593036159355534e-05,-0.17346197003761388,0.010461105848901031
NB_P24,osi_target_t06h,v18_rule,32982,0.00954921332229313,0.0030963344331429855,3.0075453029124564,-4.027044658716905e-05,0.009565806358452486,-1.6593036159355534e-05,-0.17346197003761388,0.010461105848901031
NB_P24,osi_target_t24h,C0_direct_osi,28680,0.008226384409228592,0.002869898651939075,1.9408731248600906,3.959187710729487e-05,0.008226384409228592,0.0,0.0,0.0
NB_P24,osi_target_t24h,C1_component_osi,28680,0.008030970870658143,0.0027950065193870217,1.8497594228353134,-1.3201457042298306e-05,0.008094958237266874,-6.398736660873094e-05,-0.7904595024857741,0.029593622558246047
NB_P24,osi_target_t24h,C2_equal_blend,28680,0.00809749053072104,0.0028051042100483373,1.8805290410319533,8.704808499324915e-08,0.008138086784558686,-4.059625383764573e-05,-0.49884272449236544,0.01890309176113747
NB_P24,osi_target_t24h,C3_aligned_component,28680,0.007752247617870399,0.0026688511733187143,1.7235918009333324,1.0990494221524157e-05,0.007775737635326896,-2.349001745649646e-05,-0.3020937505629817,0.010461105848901031
NB_P24,osi_target_t24h,v18_rule,28680,0.008030970870658143,0.0027950065193870217,1.8497594228353134,-1.3201457042298306e-05,0.008094958237266874,-6.398736660873094e-05,-0.7904595024857741,0.029593622558246047
