domain,mode,horizon,comparison,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
OSI,C0_direct_osi,osi_target_t01h,E2_minus_E1,34177,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.0,0.0,0.0,0
OSI,C0_direct_osi,osi_target_t01h,E2_minus_E0,34177,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.0,0.0,0.0,0
OSI,C0_direct_osi,osi_target_t01h,E1_minus_E0,34177,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.0,0.0,0.0,0
OSI,C1_component_osi,osi_target_t01h,E2_minus_E1,34177,0.01175407644389428,0.003526328267010402,4.72183666507261,-9.968812634797577e-05,0.011187368590210009,0.0033720659062251093,4.277498170316654,-0.00011883284701340053,-0.0005667078536842705,-4.821372877650887,0.4443384947559563,18136
OSI,C1_component_osi,osi_target_t01h,E2_minus_E0,34177,0.011753906771635035,0.003522146736235037,4.721700344891933,-9.795172563241852e-05,0.011187368590210009,0.0033720659062251093,4.277498170316654,-0.00011883284701340053,-0.0005665381814250262,-4.819998936797909,0.44420217457527933,17945
OSI,C1_component_osi,osi_target_t01h,E1_minus_E0,34177,0.011753906771635035,0.003522146736235037,4.721700344891933,-9.795172563241852e-05,0.01175407644389428,0.003526328267010402,4.72183666507261,-9.968812634797577e-05,1.6967225924431617e-07,0.001443539263501492,-0.00013632018067699647,13990
OSI,C2_equal_blend,osi_target_t01h,E2_minus_E1,34177,0.011865317835363392,0.003537526414338279,4.8116351701807005,-0.00012721040780826556,0.011417482127708052,0.0034116720936795963,4.455276061612281,-0.00013980518774322996,-0.00044783570765533944,-3.7743254236360158,0.35635910856841946,17309
OSI,C2_equal_blend,osi_target_t01h,E2_minus_E0,34177,0.011865128386645472,0.0035353383618447615,4.811481520552516,-0.00012362636729433598,0.011417482127708052,0.0034116720936795963,4.455276061612281,-0.00013980518774322996,-0.0004476462589374196,-3.772789002782795,0.35620545894023525,17257
OSI,C2_equal_blend,osi_target_t01h,E1_minus_E0,34177,0.011865128386645472,0.0035353383618447615,4.811481520552516,-0.00012362636729433598,0.011865317835363392,0.003537526414338279,4.8116351701807005,-0.00012721040780826556,1.894487179198573e-07,0.0015966849387982762,-0.0001536496281842048,13637
OSI,C3_aligned_component,osi_target_t01h,E2_minus_E1,34177,0.011627582891197898,0.0034761235617338957,4.62075377336588,-0.00010583975127679524,0.011101490712958732,0.0033403611996247746,4.212079293697739,-0.00011626380690964074,-0.0005260921782391653,-4.524518837336499,0.4086744796681412,17502
OSI,C3_aligned_component,osi_target_t01h,E2_minus_E0,34177,0.011628814288783167,0.0034747668922355973,4.6217325298943095,-0.00010212249937635163,0.011101490712958732,0.0033403611996247746,4.212079293697739,-0.00011626380690964074,-0.0005273235758244347,-4.534628920276729,0.40965323619657035,17526
OSI,C3_aligned_component,osi_target_t01h,E1_minus_E0,34177,0.011628814288783167,0.0034747668922355973,4.6217325298943095,-0.00010212249937635163,0.011627582891197898,0.0034761235617338957,4.62075377336588,-0.00010583975127679524,-1.2313975852693698e-06,-0.010589192970922312,0.0009787565284291588,13658
OSI,v18_rule,osi_target_t01h,E2_minus_E1,34177,0.011627582891197898,0.0034761235617338957,4.62075377336588,-0.00010583975127679524,0.011101490712958732,0.0033403611996247746,4.212079293697739,-0.00011626380690964074,-0.0005260921782391653,-4.524518837336499,0.4086744796681412,17502
