split_seed,comparison,horizon,model,fold,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
42,G_minus_B,osi_target_t01h,C0_direct_osi,0,6864,0.0068914602924788,0.002798437249228229,0.32598663214474155,0.00017853276190614448,0.0068914602924788,0.002798437249228229,0.32598663214474155,0.00017853276190614448,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,1,6721,0.010590048791515361,0.0037813675457644565,0.7537543256262691,-0.0003804539387695463,0.010590048791515361,0.0037813675457644565,0.7537543256262691,-0.0003804539387695463,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,2,6864,0.013282252064634785,0.0040659406693599,1.2109346614519099,-0.0005315700917387339,0.013282252064634785,0.0040659406693599,1.2109346614519099,-0.0005315700917387339,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,3,6864,0.01619361981450347,0.003995209796294814,1.7999695269900076,0.00045190610740525366,0.01619361981450347,0.003995209796294814,1.7999695269900076,0.00045190610740525366,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,4,6864,0.011203868858249656,0.003358496807966772,0.8616151136245667,-0.0003821592801369917,0.011203868858249656,0.003358496807966772,0.8616151136245667,-0.0003821592801369917,0.0,0.0,0.0,0
42,G_minus_A,osi_target_t01h,C0_direct_osi,0,6864,0.0068914602924788,0.002798437249228229,0.32598663214474155,0.00017853276190614448,0.0068914602924788,0.002798437249228229,0.32598663214474155,0.00017853276190614448,0.0,0.0,0.0,0
42,G_minus_A,osi_target_t01h,C0_direct_osi,1,6721,0.010590048791515361,0.0037813675457644565,0.7537543256262691,-0.0003804539387695463,0.010590048791515361,0.0037813675457644565,0.7537543256262691,-0.0003804539387695463,0.0,0.0,0.0,0
42,G_minus_A,osi_target_t01h,C0_direct_osi,2,6864,0.013282252064634785,0.0040659406693599,1.2109346614519099,-0.0005315700917387339,0.013282252064634785,0.0040659406693599,1.2109346614519099,-0.0005315700917387339,0.0,0.0,0.0,0
42,G_minus_A,osi_target_t01h,C0_direct_osi,3,6864,0.01619361981450347,0.003995209796294814,1.7999695269900076,0.00045190610740525366,0.01619361981450347,0.003995209796294814,1.7999695269900076,0.00045190610740525366,0.0,0.0,0.0,0
42,G_minus_A,osi_target_t01h,C0_direct_osi,4,6864,0.011203868858249656,0.003358496807966772,0.8616151136245667,-0.0003821592801369917,0.011203868858249656,0.003358496807966772,0.8616151136245667,-0.0003821592801369917,0.0,0.0,0.0,0
42,G_minus_C,osi_target_t01h,C0_direct_osi,0,6864,0.0068914602924788,0.002798437249228229,0.32598663214474155,0.00017853276190614448,0.0068914602924788,0.002798437249228229,0.32598663214474155,0.00017853276190614448,0.0,0.0,0.0,0
42,G_minus_C,osi_target_t01h,C0_direct_osi,1,6721,0.010590048791515361,0.0037813675457644565,0.7537543256262691,-0.0003804539387695463,0.010590048791515361,0.0037813675457644565,0.7537543256262691,-0.0003804539387695463,0.0,0.0,0.0,0
42,G_minus_C,osi_target_t01h,C0_direct_osi,2,6864,0.013282252064634785,0.0040659406693599,1.2109346614519099,-0.0005315700917387339,0.013282252064634785,0.0040659406693599,1.2109346614519099,-0.0005315700917387339,0.0,0.0,0.0,0
