split_seed,comparison,horizon,model,window,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
42,G_minus_B,osi_target_t01h,v18_rule,first_four_target_hours,956,0.0295791865696395,0.008854293317505832,0.8364314338841938,-0.0008063834675021734,0.02773666780912284,0.008271952358112192,0.7354725405428715,-0.0005143081027053437,-0.001842518760516658,-6.2291055779331135,0.10095889334132235,607
42,G_minus_B,osi_target_t01h,v18_rule,later_target_hours,33221,0.01081582309020784,0.003336718389620443,3.886259989351438,-9.02610431654454e-05,0.01081582309020784,0.003336718389620443,3.886259989351438,-9.02610431654454e-05,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,v18_rule,changed_predictions,607,0.037091224148409194,0.013551542870746423,0.8350856576583127,-0.0014639266717558883,0.03477692536136237,0.01263437984409021,0.7341267643169901,-0.0010039200016640113,-0.002314298787046823,-6.239478044150992,0.10095889334132258,607
42,G_minus_A,osi_target_t01h,v18_rule,first_four_target_hours,956,0.029981630423492518,0.008922195022052718,0.8593466436854529,-0.000910959623174227,0.02773666780912284,0.008271952358112192,0.7354725405428715,-0.0005143081027053437,-0.0022449626143696763,-7.487793634500295,0.1238741031425814,628
42,G_minus_A,osi_target_t01h,v18_rule,later_target_hours,33221,0.01081582309020784,0.003336718389620443,3.886259989351438,-9.02610431654454e-05,0.01081582309020784,0.003336718389620443,3.886259989351438,-9.02610431654454e-05,0.0,0.0,0.0,0
42,G_minus_A,osi_target_t01h,v18_rule,changed_predictions,628,0.03697265369269486,0.01330185589505134,0.8584616320382042,-0.001563138503544335,0.034201247995993896,0.012311996043574993,0.7345875288956232,-0.0009593186730216403,-0.0027714056967009654,-7.495825752016671,0.12387410314258107,628
42,G_minus_C,osi_target_t01h,v18_rule,first_four_target_hours,956,0.027733681893275755,0.008259843122137431,0.7353141984576854,-0.0005264983991909509,0.02773666780912284,0.008271952358112192,0.7354725405428715,-0.0005143081027053437,2.985915847086157e-06,0.010766388172256391,-0.0001583420851860584,38
42,G_minus_C,osi_target_t01h,v18_rule,later_target_hours,33221,0.010818964286160058,0.0033343745331009026,3.888517658829595,-0.00010480584579571237,0.01081582309020784,0.003336718389620443,3.886259989351438,-9.02610431654454e-05,-3.141195952217901e-06,-0.029034165093200226,0.002257669478157087,16399
42,G_minus_C,osi_target_t01h,v18_rule,changed_predictions,16437,0.015024207316446141,0.0064126713049407905,3.710271501798921,7.318311990630564e-05,0.015019956253851496,0.006418112789824135,3.7081721744059495,0.00010328878466388541,-4.251062594645e-06,-0.028294754625701746,0.002099327392971695,16437
20260917,G_minus_B,osi_target_t01h,v18_rule,first_four_target_hours,956,0.033338653882732,0.009759186646446266,1.062561345633247,-3.130191217753219e-05,0.031239384391503644,0.00910656987995124,0.9329595751250761,0.0001030504806162525,-0.0020992694912283574,-6.296803400078755,0.1296017705081709,623
