split_seed,comparison,horizon,model,window,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
20260917,G_minus_C,osi_target_t01h,C1_component_osi,first_four_target_hours,956,0.031239539481185442,0.00911234968955516,0.9329688386086961,0.00010883029022017305,0.031239384391503644,0.00910656987995124,0.9329595751250761,0.0001030504806162525,-1.5508968179839266e-07,-0.0004964531628015578,9.26348361995899e-06,49
20260917,G_minus_C,osi_target_t01h,C1_component_osi,later_target_hours,33221,0.0115002025335472,0.0034653461072772433,4.393632003803065,-0.00013446561978450956,0.01138148210466317,0.003435242141574476,4.303386379471972,-0.00015509039510747162,-0.00011872042888402996,-1.032333374457628,0.09024562433109296,16330
20260917,G_minus_C,osi_target_t01h,C1_component_osi,changed_predictions,16379,0.01600639783013264,0.006642596550660667,4.196377952340761,0.00011144606353597328,0.015833330940610426,0.006581200290657434,4.106123064526048,6.927614113622546e-05,-0.00017306688952221233,-1.0812357118627158,0.09025488781471314,16379
20260917,G_minus_B,osi_target_t01h,C3_aligned_component,first_four_target_hours,956,0.033338653882732,0.009759186646446266,1.062561345633247,-3.130191217753219e-05,0.031239384391503644,0.00910656987995124,0.9329595751250761,0.0001030504806162525,-0.0020992694912283574,-6.296803400078755,0.1296017705081709,623
20260917,G_minus_B,osi_target_t01h,C3_aligned_component,later_target_hours,33221,0.011319418517030942,0.003401208855414232,4.256581334661776,-0.00017749213712022868,0.011319418517030942,0.003401208855414232,4.256581334661776,-0.00017749213712022868,0.0,0.0,0.0,0
20260917,G_minus_B,osi_target_t01h,C3_aligned_component,changed_predictions,623,0.04128556567350332,0.014687953738116289,1.0619022122472601,-0.00024170497826962625,0.03868422687467069,0.01368650650092649,0.9323004417390893,-3.55398297770776e-05,-0.0026013387988326267,-6.300843300548841,0.1296017705081708,623
20260917,G_minus_A,osi_target_t01h,C3_aligned_component,first_four_target_hours,956,0.03371568131840141,0.009821323727800514,1.0867302914263854,-0.00012052603258804539,0.031239384391503644,0.00910656987995124,0.9329595751250761,0.0001030504806162525,-0.0024762969268977628,-7.344644480152462,0.15377071630130934,643
20260917,G_minus_A,osi_target_t01h,C3_aligned_component,later_target_hours,33221,0.011319418517030942,0.003401208855414232,4.256581334661776,-0.00017749213712022868,0.011319418517030942,0.003401208855414232,4.256581334661776,-0.00017749213712022868,0.0,0.0,0.0,0
20260917,G_minus_A,osi_target_t01h,C3_aligned_component,changed_predictions,643,0.04110178925974978,0.014384321168020348,1.0862566026669034,-0.00031829718622707656,0.038081640351070686,0.013321638930782548,0.9324858863655938,1.4112062020682035e-05,-0.0030201489086790906,-7.347974292780157,0.15377071630130956,643
20260917,G_minus_C,osi_target_t01h,C3_aligned_component,first_four_target_hours,956,0.031239539481185442,0.00911234968955516,0.9329688386086961,0.00010883029022017305,0.031239384391503644,0.00910656987995124,0.9329595751250761,0.0001030504806162525,-1.5508968179839266e-07,-0.0004964531628015578,9.26348361995899e-06,49
20260917,G_minus_C,osi_target_t01h,C3_aligned_component,later_target_hours,33221,0.011384086356154682,0.0034140321692973184,4.305355961723107,-0.00017469800440945334,0.011319418517030942,0.003401208855414232,4.256581334661776,-0.00017749213712022868,-6.466783912374013e-05,-0.5680547134006786,0.04877462706133073,16052
20260917,G_minus_C,osi_target_t01h,C3_aligned_component,changed_predictions,16101,0.01597898976452993,0.006652187118223491,4.111037961822628,5.283532905463341e-07,0.01588389897890647,0.00662538575132135,4.062254071277678,-5.579924503753306e-06,-9.509078562346118e-05,-0.5950988580926686,0.048783890544950026,16101
20260917,G_minus_B,osi_target_t01h,v18_rule,first_four_target_hours,956,0.033338653882732,0.009759186646446266,1.062561345633247,-3.130191217753219e-05,0.031239384391503644,0.00910656987995124,0.9329595751250761,0.0001030504806162525,-0.0020992694912283574,-6.296803400078755,0.1296017705081709,623
20260917,G_minus_B,osi_target_t01h,v18_rule,later_target_hours,33221,0.011319418517030942,0.003401208855414232,4.256581334661776,-0.00017749213712022868,0.011319418517030942,0.003401208855414232,4.256581334661776,-0.00017749213712022868,0.0,0.0,0.0,0
20260917,G_minus_B,osi_target_t01h,v18_rule,changed_predictions,623,0.04128556567350332,0.014687953738116289,1.0619022122472601,-0.00024170497826962625,0.03868422687467069,0.01368650650092649,0.9323004417390893,-3.55398297770776e-05,-0.0026013387988326267,-6.300843300548841,0.1296017705081708,623
20260917,G_minus_A,osi_target_t01h,v18_rule,first_four_target_hours,956,0.03371568131840141,0.009821323727800514,1.0867302914263854,-0.00012052603258804539,0.031239384391503644,0.00910656987995124,0.9329595751250761,0.0001030504806162525,-0.0024762969268977628,-7.344644480152462,0.15377071630130934,643
20260917,G_minus_A,osi_target_t01h,v18_rule,later_target_hours,33221,0.011319418517030942,0.003401208855414232,4.256581334661776,-0.00017749213712022868,0.011319418517030942,0.003401208855414232,4.256581334661776,-0.00017749213712022868,0.0,0.0,0.0,0
20260917,G_minus_A,osi_target_t01h,v18_rule,changed_predictions,643,0.04110178925974978,0.014384321168020348,1.0862566026669034,-0.00031829718622707656,0.038081640351070686,0.013321638930782548,0.9324858863655938,1.4112062020682035e-05,-0.0030201489086790906,-7.347974292780157,0.15377071630130956,643
20260917,G_minus_C,osi_target_t01h,v18_rule,first_four_target_hours,956,0.031239539481185442,0.00911234968955516,0.9329688386086961,0.00010883029022017305,0.031239384391503644,0.00910656987995124,0.9329595751250761,0.0001030504806162525,-1.5508968179839266e-07,-0.0004964531628015578,9.26348361995899e-06,49
20260917,G_minus_C,osi_target_t01h,v18_rule,later_target_hours,33221,0.011384086356154682,0.0034140321692973184,4.305355961723107,-0.00017469800440945334,0.011319418517030942,0.003401208855414232,4.256581334661776,-0.00017749213712022868,-6.466783912374013e-05,-0.5680547134006786,0.04877462706133073,16052
20260917,G_minus_C,osi_target_t01h,v18_rule,changed_predictions,16101,0.01597898976452993,0.006652187118223491,4.111037961822628,5.283532905463341e-07,0.01588389897890647,0.00662538575132135,4.062254071277678,-5.579924503753306e-06,-9.509078562346118e-05,-0.5950988580926686,0.048783890544950026,16101
20260918,G_minus_B,osi_target_t01h,C1_component_osi,first_four_target_hours,956,0.029864530029571866,0.009246820262887843,0.8526469871161629,-0.0006882297404808824,0.02816565856936297,0.008789482300105674,0.7583989324495088,-0.0004937420961877052,-0.0016988714602088964,-5.688592649965274,0.09424805466665409,618
20260918,G_minus_B,osi_target_t01h,C1_component_osi,later_target_hours,33221,0.010339664462248595,0.0033032390322839567,3.5516126334556626,-2.9289802418921148e-05,0.010339664462248595,0.0033032390322839567,3.5516126334556626,-2.9289802418921148e-05,0.0,0.0,0.0,0
20260918,G_minus_B,osi_target_t01h,C1_component_osi,changed_predictions,618,0.0371133658260991,0.013875811631170956,0.85123438837807,-0.00135408123550287,0.034998528256421864,0.013168343844083974,0.7569863337114158,-0.0010532233262079238,-0.0021148375696772373,-5.698317904085181,0.0942480546666542,618
20260918,G_minus_A,osi_target_t01h,C1_component_osi,first_four_target_hours,956,0.030141415259013732,0.009273127615715991,0.8685306976083884,-0.0007710066104482866,0.02816565856936297,0.008789482300105674,0.7583989324495088,-0.0004937420961877052,-0.0019757566896507622,-6.554956602642992,0.11013176515887957,626
20260918,G_minus_A,osi_target_t01h,C1_component_osi,later_target_hours,33221,0.010339664462248595,0.0033032390322839567,3.5516126334556626,-2.9289802418921148e-05,0.010339664462248595,0.0033032390322839567,3.5516126334556626,-2.9289802418921148e-05,0.0,0.0,0.0,0
20260918,G_minus_A,osi_target_t01h,C1_component_osi,changed_predictions,626,0.037221544315808174,0.013772537432580886,0.8672875441447985,-0.0014735474230757033,0.034778068145588065,0.013033935321201548,0.7571557789859188,-0.0010501211041729634,-0.002443476170220109,-6.564682404062294,0.11013176515887968,626
20260918,G_minus_C,osi_target_t01h,C1_component_osi,first_four_target_hours,956,0.028165477087947078,0.008780366195213846,0.7583891592096383,-0.0005028616279351239,0.02816565856936297,0.008789482300105674,0.7583989324495088,-0.0004937420961877052,1.8148141589166555e-07,0.0006443399319211451,-9.773239870503048e-06,55
20260918,G_minus_C,osi_target_t01h,C1_component_osi,later_target_hours,33221,0.010378389588297543,0.0033181388700563026,3.5782661492026064,-6.71324312510437e-05,0.010339664462248595,0.0033032390322839567,3.5516126334556626,-2.9289802418921148e-05,-3.872512604894719e-05,-0.37313232192220935,0.026653515746943857,16681
20260918,G_minus_C,osi_target_t01h,C1_component_osi,changed_predictions,16736,0.014427505742548821,0.00628477647285929,3.4836473017766094,0.00016239646599346946,0.014372227389254522,0.006255720992794847,3.4570035592695363,0.0002380351039465329,-5.527835329429895e-05,-0.3831455989740107,0.02664374250707313,16736
20260918,G_minus_B,osi_target_t01h,C3_aligned_component,first_four_target_hours,956,0.029864530029571866,0.009246820262887843,0.8526469871161629,-0.0006882297404808824,0.02816565856936297,0.008789482300105674,0.7583989324495088,-0.0004937420961877052,-0.0016988714602088964,-5.688592649965274,0.09424805466665409,618
20260918,G_minus_B,osi_target_t01h,C3_aligned_component,later_target_hours,33221,0.010423563126414997,0.003296040392737395,3.6094838499451556,-6.420700715770924e-05,0.010423563126414997,0.003296040392737395,3.6094838499451556,-6.420700715770924e-05,0.0,0.0,0.0,0
20260918,G_minus_B,osi_target_t01h,C3_aligned_component,changed_predictions,618,0.0371133658260991,0.013875811631170956,0.85123438837807,-0.00135408123550287,0.034998528256421864,0.013168343844083974,0.7569863337114158,-0.0010532233262079238,-0.0021148375696772373,-5.698317904085181,0.0942480546666542,618
20260918,G_minus_A,osi_target_t01h,C3_aligned_component,first_four_target_hours,956,0.030141415259013732,0.009273127615715991,0.8685306976083884,-0.0007710066104482866,0.02816565856936297,0.008789482300105674,0.7583989324495088,-0.0004937420961877052,-0.0019757566896507622,-6.554956602642992,0.11013176515887957,626
20260918,G_minus_A,osi_target_t01h,C3_aligned_component,later_target_hours,33221,0.010423563126414997,0.003296040392737395,3.6094838499451556,-6.420700715770924e-05,0.010423563126414997,0.003296040392737395,3.6094838499451556,-6.420700715770924e-05,0.0,0.0,0.0,0
20260918,G_minus_A,osi_target_t01h,C3_aligned_component,changed_predictions,626,0.037221544315808174,0.013772537432580886,0.8672875441447985,-0.0014735474230757033,0.034778068145588065,0.013033935321201548,0.7571557789859188,-0.0010501211041729634,-0.002443476170220109,-6.564682404062294,0.11013176515887968,626
20260918,G_minus_C,osi_target_t01h,C3_aligned_component,first_four_target_hours,956,0.028165477087947078,0.008780366195213846,0.7583891592096383,-0.0005028616279351239,0.02816565856936297,0.008789482300105674,0.7583989324495088,-0.0004937420961877052,1.8148141589166555e-07,0.0006443399319211451,-9.773239870503048e-06,55
