split_seed,comparison,horizon,model,fipsCode,countyName,fold,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
42,G_minus_B,osi_target_t01h,C0_direct_osi,18009,Blackford County,0,143,0.006455825305257041,0.00377570498351586,0.005959908293195596,0.0017863094348808213,0.006455825305257041,0.00377570498351586,0.005959908293195596,0.0017863094348808213,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18013,Brown County,1,143,0.029371327521367934,0.013826883390686334,0.12336250789254756,-0.008311937756757646,0.029371327521367934,0.013826883390686334,0.12336250789254756,-0.008311937756757646,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18023,Clinton County,3,143,0.0020370069404625564,0.0008132340203464174,0.0005933638103954454,0.0007527140716184442,0.0020370069404625564,0.0008132340203464174,0.0005933638103954454,0.0007527140716184442,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18025,Crawford County,2,143,0.01226871557645628,0.002234434609479308,0.021524557611125275,-0.0018289135531819475,0.01226871557645628,0.002234434609479308,0.021524557611125275,-0.0018289135531819475,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18027,Daviess County,2,143,0.004120957225489651,0.0018056382801498899,0.002428467248967097,0.0017972466717582818,0.004120957225489651,0.0018056382801498899,0.002428467248967097,0.0017972466717582818,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18029,Dearborn County,1,143,0.0015717899952437274,0.0006256160903712002,0.00035328490184820347,0.0001988883893752662,0.0015717899952437274,0.0006256160903712002,0.00035328490184820347,0.0001988883893752662,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18033,DeKalb County,1,143,0.003094353597715886,0.0013467780446412543,0.0013692284588407066,-0.0009221569503268484,0.003094353597715886,0.0013467780446412543,0.0013692284588407066,-0.0009221569503268484,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18035,Delaware County,1,143,0.0019665131432639598,0.0009989619632557734,0.0005530058737960755,-0.0005182894714011515,0.0019665131432639598,0.0009989619632557734,0.0005530058737960755,-0.0005182894714011515,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18037,Dubois County,3,143,0.002865045643283015,0.001245891755797082,0.001173813574947583,0.0008450505418011515,0.002865045643283015,0.001245891755797082,0.001173813574947583,0.0008450505418011515,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18039,Elkhart County,4,143,0.0025936395003720277,0.0018350438197421133,0.0009619561176782788,0.001787178710243755,0.0025936395003720277,0.0018350438197421133,0.0009619561176782788,0.001787178710243755,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18041,Fayette County,2,143,0.004866868611556829,0.002226921810287457,0.0033871566417484657,-0.000951151173087513,0.004866868611556829,0.002226921810287457,0.0033871566417484657,-0.000951151173087513,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18043,Floyd County,4,143,0.001923213673855933,0.0007486141872344565,0.0005289213694488203,0.00020812578171266734,0.001923213673855933,0.0007486141872344565,0.0005289213694488203,0.00020812578171266734,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18045,Fountain County,3,143,0.0019252362346122989,0.000769503774337913,0.0005300344419461724,0.000574692439795763,0.0019252362346122989,0.000769503774337913,0.0005300344419461724,0.000574692439795763,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18047,Franklin County,4,143,0.0033684332124266744,0.0012397412001327584,0.0016225269498408093,0.00026517617389234556,0.0033684332124266744,0.0012397412001327584,0.0016225269498408093,0.00026517617389234556,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18051,Gibson County,1,143,0.0010429801914877464,0.00036820045493992363,0.00015555649821652172,1.1753864196711473e-05,0.0010429801914877464,0.00036820045493992363,0.00015555649821652172,1.1753864196711473e-05,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18059,Hancock County,3,143,0.0012672177077736194,0.00039053540696883896,0.00022963522280198878,0.00020569362755300274,0.0012672177077736194,0.00039053540696883896,0.00022963522280198878,0.00020569362755300274,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18061,Harrison County,3,143,0.0039044456258637396,0.001599895914812649,0.002179991477281688,-0.00034721583161165687,0.0039044456258637396,0.001599895914812649,0.002179991477281688,-0.00034721583161165687,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18065,Henry County,3,143,0.0022038812832675713,0.0011410222938286715,0.0006945642576354077,0.0004489217961334792,0.0022038812832675713,0.0011410222938286715,0.0006945642576354077,0.0004489217961334792,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18067,Howard County,2,143,0.0016747202469727916,0.0005358030096486535,0.00040107037050374694,-2.0434832913269288e-05,0.0016747202469727916,0.0005358030096486535,0.00040107037050374694,-2.0434832913269288e-05,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18069,Huntington County,0,143,0.0014070791746336705,0.0007737414133148754,0.00028312166792735134,-0.00023967901453403784,0.0014070791746336705,0.0007737414133148754,0.00028312166792735134,-0.00023967901453403784,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18071,Jackson County,0,143,0.004163887581562179,0.0015706084085396629,0.002479328250239946,0.001545456872180862,0.004163887581562179,0.0015706084085396629,0.002479328250239946,0.001545456872180862,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18073,Jasper County,2,143,0.0033822343339045343,0.0019501305011188545,0.0016358497997902989,0.0016194735958739602,0.0033822343339045343,0.0019501305011188545,0.0016358497997902989,0.0016194735958739602,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18077,Jefferson County,2,143,0.0047467552140876765,0.0014145191370428124,0.003222030963933001,-0.000930649205722483,0.0047467552140876765,0.0014145191370428124,0.003222030963933001,-0.000930649205722483,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18083,Knox County,2,143,0.004237644836191765,0.0021488415016431223,0.0025679416273514904,0.002042547795349416,0.004237644836191765,0.0021488415016431223,0.0025679416273514904,0.002042547795349416,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18085,Kosciusko County,3,143,0.004289675233377182,0.002863463370659908,0.0026313878459224894,0.002594921719459992,0.004289675233377182,0.002863463370659908,0.0026313878459224894,0.002594921719459992,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18087,LaGrange County,2,143,0.0017382327037223806,0.0014895638520676798,0.0004320677693174725,0.0014386511806380575,0.0017382327037223806,0.0014895638520676798,0.0004320677693174725,0.0014386511806380575,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18089,Lake County,4,143,0.003005078205274103,0.002270039371777264,0.0012913607878333195,0.0013012984136159579,0.003005078205274103,0.002270039371777264,0.0012913607878333195,0.0013012984136159579,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18091,LaPorte County,0,143,0.0014167929930036557,0.0007385840907153373,0.00028704424105846873,-0.00014852920072455896,0.0014167929930036557,0.0007385840907153373,0.00028704424105846873,-0.00014852920072455896,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18093,Lawrence County,1,143,0.007661893232568975,0.0025269849276704716,0.008394758930741934,-0.0020770235359720414,0.007661893232568975,0.0025269849276704716,0.008394758930741934,-0.0020770235359720414,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18095,Madison County,0,143,0.0015526487384638279,0.0007865464209952289,0.0003447326890226242,1.1596382837292087e-05,0.0015526487384638279,0.0007865464209952289,0.0003447326890226242,1.1596382837292087e-05,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18097,Marion County,1,143,0.0008312561565956696,0.00038025063685313354,9.881111209658324e-05,0.00014705196602141638,0.0008312561565956696,0.00038025063685313354,9.881111209658324e-05,0.00014705196602141638,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18099,Marshall County,3,143,0.008772900662822793,0.0032209099262026654,0.011005821403685195,-0.0008663145200255116,0.008772900662822793,0.0032209099262026654,0.011005821403685195,-0.0008663145200255116,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18101,Martin County,4,143,0.0030948744861468845,0.0016783733694947238,0.001369689476155421,0.0005348370840053876,0.0030948744861468845,0.0016783733694947238,0.001369689476155421,0.0005348370840053876,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18103,Miami County,0,143,0.004849671362725657,0.0026338757182607867,0.0033632616626811094,0.0024621127352096083,0.004849671362725657,0.0026338757182607867,0.0033632616626811094,0.0024621127352096083,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18105,Monroe County,3,143,0.0018874785518754285,0.0006312062376955655,0.0005094482655819363,-0.00038716603777094185,0.0018874785518754285,0.0006312062376955655,0.0005094482655819363,-0.00038716603777094185,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18107,Montgomery County,1,143,0.001636206204539548,0.0008023078511833083,0.000382835416359641,0.00039288523677094296,0.001636206204539548,0.0008023078511833083,0.000382835416359641,0.00039288523677094296,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18109,Morgan County,2,143,0.001462930183416913,0.0005608869923645471,0.0003060435551819707,0.0002574688804092095,0.001462930183416913,0.0005608869923645471,0.0003060435551819707,0.0002574688804092095,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18111,Newton County,2,143,0.004732373123040628,0.0031242587035447446,0.003202535818721854,0.0027044134984095802,0.004732373123040628,0.0031242587035447446,0.003202535818721854,0.0027044134984095802,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18113,Noble County,1,143,0.0013812223620779476,0.000839216770970988,0.0002728118555310984,1.1542241684573817e-05,0.0013812223620779476,0.000839216770970988,0.0002728118555310984,1.1542241684573817e-05,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18117,Orange County,4,143,0.013174503577104247,0.003770329286136163,0.024820158863947964,-0.003628155426230745,0.013174503577104247,0.003770329286136163,0.024820158863947964,-0.003628155426230745,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18121,Parke County,1,143,0.024462463009621096,0.009075902863094898,0.0855729297990825,-0.005641106425083935,0.024462463009621096,0.009075902863094898,0.0855729297990825,-0.005641106425083935,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18123,Perry County,3,143,0.0058759474545173225,0.002126960862163149,0.00493732646381955,0.0020738140090162957,0.0058759474545173225,0.002126960862163149,0.00493732646381955,0.0020738140090162957,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18125,Pike County,0,143,0.0027676018466622865,0.0008627596424888459,0.001095325657375735,0.0006069250908745536,0.0027676018466622865,0.0008627596424888459,0.001095325657375735,0.0006069250908745536,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18127,Porter County,2,143,0.003119038472055068,0.0023771374824042278,0.0013911613415928247,0.0021885149678006724,0.003119038472055068,0.0023771374824042278,0.0013911613415928247,0.0021885149678006724,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18129,Posey County,4,143,0.0013745325109527186,0.0006083592944290774,0.00027017556618423594,0.00027257751436371875,0.0013745325109527186,0.0006083592944290774,0.00027017556618423594,0.00027257751436371875,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18131,Pulaski County,4,143,0.017481557851831798,0.004317545010150827,0.04370149568455269,-0.0030977678849383535,0.017481557851831798,0.004317545010150827,0.04370149568455269,-0.0030977678849383535,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18133,Putnam County,4,143,0.0011144901764834373,0.000492039066979429,0.00017761863454736592,-0.00026617747463351216,0.0011144901764834373,0.000492039066979429,0.00017761863454736592,-0.00026617747463351216,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18135,Randolph County,0,143,0.004976868758202251,0.0029994540373904457,0.0035419988370008542,0.0026006778677444657,0.004976868758202251,0.0029994540373904457,0.0035419988370008542,0.0026006778677444657,0.0,0.0,0.0,0
42,G_minus_B,osi_target_t01h,C0_direct_osi,18137,Ripley County,0,143,0.0033057830560524323,0.0013450630139015267,0.0015627328307567202,0.00013272693876506062,0.0033057830560524323,0.0013450630139015267,0.0015627328307567202,0.00013272693876506062,0.0,0.0,0.0,0
