split_seed,space,horizon,comparison,population,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions,counties,replicates,seed,ci_low,ci_high,bootstrap_fraction_delta_lt0,bootstrap_fraction_delta_eq0
42,raw_D1,osi_target_t01h,G_minus_B,all_counties,34177,0.017107714939321023,0.005317616740693066,10.002716237281078,6.325545767391903e-05,0.016780375934590502,0.005269283220696893,9.623594401131854,9.550471461301873e-05,-0.00032733900473052094,-1.913399924487591,0.3791218361492241,754,239,2000,20260910,-0.0010125308877775374,3.4199953046013705e-05,0.915,0.0
42,raw_D1,osi_target_t01h,G_minus_B,exclude_Morrow_diagnostic_only,34034,0.01638121392622619,0.005211995351601571,9.132825471460446,0.00017503360215430906,0.016354062536079215,0.0051852405983261185,9.102575771044405,0.0001856365114354742,-2.715139014697679e-05,-0.16574711904291384,0.030249700416041136,750,238,2000,20260910,-8.533900320272531e-05,5.177948020796112e-05,0.7785,0.0
42,raw_D1,osi_target_t01h,G_minus_A,all_counties,34177,0.017218970139467167,0.005328790864185789,10.133238959652811,5.208133004586173e-05,0.016780375934590502,0.005269283220696893,9.623594401131854,9.550471461301873e-05,-0.00043859420487666473,-2.5471570095320306,0.5096445585209572,784,239,2000,20260910,-0.0013654622826109425,3.16467587144519e-05,0.922,0.0
42,raw_D1,osi_target_t01h,G_minus_A,exclude_Morrow_diagnostic_only,34034,0.016383494230904173,0.005217726418022904,9.13536827130767,0.00016930253158026678,0.016354062536079215,0.0051852405983261185,9.102575771044405,0.0001856365114354742,-2.9431694824957888e-05,-0.17964235473920676,0.0327925002632643,780,238,2000,20260910,-8.813038762012786e-05,4.946063341310118e-05,0.794,0.0
42,raw_D1,osi_target_t01h,G_minus_C,all_counties,34177,0.016800214441568324,0.005235532145498745,9.646362734946184,-5.016527907135945e-05,0.016780375934590502,0.005269283220696893,9.623594401131854,9.550471461301873e-05,-1.9838506977822024e-05,-0.11808484377875406,0.022768333814330077,30392,239,2000,20260910,-0.00034907140612474246,0.00035660995449846467,0.5425,0.0
42,raw_D1,osi_target_t01h,G_minus_C,exclude_Morrow_diagnostic_only,34034,0.01626243445382036,0.005135477679200759,9.00086219873172,5.3338023718267635e-05,0.016354062536079215,0.0051852405983261185,9.102575771044405,0.0001856365114354742,9.162808225885583e-05,0.5634339835099533,-0.10171357231268452,30253,238,2000,20260910,-0.00016796396744288782,0.00043179198328705253,0.2765,0.0
42,aligned_D1,osi_target_t01h,G_minus_B,all_counties,34177,0.016864703901893898,0.0052274382287803775,9.720562109823524,2.9286587167134728e-05,0.016532554060388605,0.0051791047087842036,9.341440273674301,6.153584410623428e-05,-0.00033214984150529286,-1.9694970243028798,0.37912183614922235,754,239,2000,20260910,-0.0010170767744826486,3.48198556774403e-05,0.915,0.0
42,aligned_D1,osi_target_t01h,G_minus_B,exclude_Morrow_diagnostic_only,34034,0.016082723228123076,0.005114821546378078,8.803029774240628,0.000148024847925333,0.016055067055905196,0.005088066793102623,8.772780073824588,0.00015862775720649808,-2.765617221787975e-05,-0.17196199813672708,0.03024970041603936,750,238,2000,20260910,-8.659246316297035e-05,5.321792209111388e-05,0.7785,0.0
42,aligned_D1,osi_target_t01h,G_minus_A,all_counties,34177,0.01697755164672897,0.005238612352273099,9.851084832195257,1.811245953907745e-05,0.016532554060388605,0.0051791047087842036,9.341440273674301,6.153584410623428e-05,-0.0004449975863403642,-2.6210939928202226,0.5096445585209555,784,239,2000,20260910,-0.0013838220627252137,3.264116371898746e-05,0.922,0.0
42,aligned_D1,osi_target_t01h,G_minus_A,exclude_Morrow_diagnostic_only,34034,0.01608504584854184,0.00512055261279941,8.805572574087853,0.00014229377735129067,0.016055067055905196,0.005088066793102623,8.772780073824588,0.00015862775720649808,-2.997879263664377e-05,-0.1863767931961524,0.0327925002632643,780,238,2000,20260910,-8.920153828999872e-05,5.084758517112634e-05,0.794,0.0
42,aligned_D1,osi_target_t01h,G_minus_C,all_counties,34177,0.016565559002049094,0.0051743041244085245,9.37877527258649,2.0161518981989855e-06,0.016532554060388605,0.0051791047087842036,9.341440273674301,6.153584410623428e-05,-3.300494166048884e-05,-0.1992383212447324,0.037334998912188055,30392,239,2000,20260910,-0.0002244085825481263,0.00016136768745302735,0.63,0.0
42,aligned_D1,osi_target_t01h,G_minus_C,exclude_Morrow_diagnostic_only,34034,0.01601941428977968,0.005074987843755258,8.733860697940688,0.00010597907251153703,0.016055067055905196,0.005088066793102623,8.772780073824588,0.00015862775720649808,3.565276612551779e-05,0.22255973583418243,-0.03891937588389993,30253,238,2000,20260910,-9.613927697411165e-05,0.00019345506701082965,0.334,0.0
42,aligned_D6,osi_target_t06h,G_minus_B,all_counties,32982,0.01594324234760266,0.005037146165065891,8.383594860716915,6.25701481062112e-05,0.01594324234760266,0.005037146165065891,8.383594860716915,6.25701481062112e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
42,aligned_D6,osi_target_t06h,G_minus_B,exclude_Morrow_diagnostic_only,32844,0.015654877253135704,0.004970298036538274,8.049249271392133,0.00013430169522784673,0.015654877253135704,0.004970298036538274,8.049249271392133,0.00013430169522784673,0.0,0.0,0.0,0,238,2000,20260910,0.0,0.0,0.0,1.0
