horizon,model,fipsCode,countyName,fold,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
osi_target_t01h,C0_direct_osi,18009,Blackford County,3,143,0.005696219466464528,0.0038056987366034017,0.004639909018048509,0.0021448158639516004,0.005696219466464528,0.0038056987366034017,0.004639909018048509,0.0021448158639516004,0.0,0.0,0.0,0
osi_target_t01h,C0_direct_osi,18013,Brown County,0,143,0.029531566918603206,0.0142684569780201,0.12471222258751531,-0.008255039886725662,0.029531566918603206,0.0142684569780201,0.12471222258751531,-0.008255039886725662,0.0,0.0,0.0,0
osi_target_t01h,C0_direct_osi,18023,Clinton County,1,143,0.002035973178617826,0.0009122182121623688,0.0005927617101193181,0.0008688615688057256,0.002035973178617826,0.0009122182121623688,0.0005927617101193181,0.0008688615688057256,0.0,0.0,0.0,0
osi_target_t01h,C0_direct_osi,18025,Crawford County,1,143,0.011856533733168478,0.0021602397259759933,0.02010256707970397,-0.0012511335527088875,0.011856533733168478,0.0021602397259759933,0.02010256707970397,-0.0012511335527088875,0.0,0.0,0.0,0
osi_target_t01h,C0_direct_osi,18027,Daviess County,4,143,0.0022602410387038583,0.0008146538818404411,0.0007305426060848768,0.0007033547266523346,0.0022602410387038583,0.0008146538818404411,0.0007305426060848768,0.0007033547266523346,0.0,0.0,0.0,0
osi_target_t01h,C0_direct_osi,18029,Dearborn County,3,143,0.0017008826246304027,0.0005322996024121566,0.00041369924349605384,-3.636856724089091e-05,0.0017008826246304027,0.0005322996024121566,0.00041369924349605384,-3.636856724089091e-05,0.0,0.0,0.0,0
osi_target_t01h,C0_direct_osi,18033,DeKalb County,4,143,0.0029741171710157208,0.0012577646196849208,0.0012648883314110692,-0.0006017141423948611,0.0029741171710157208,0.0012577646196849208,0.0012648883314110692,-0.0006017141423948611,0.0,0.0,0.0,0
osi_target_t01h,C0_direct_osi,18035,Delaware County,0,143,0.0021155183410179862,0.0009777862733424333,0.0006399847527192395,-0.0006273326701612873,0.0021155183410179862,0.0009777862733424333,0.0006399847527192395,-0.0006273326701612873,0.0,0.0,0.0,0
osi_target_t01h,C0_direct_osi,18037,Dubois County,4,143,0.0023340423014459534,0.0009013399020866772,0.0007790287454862946,0.0004643095997571804,0.0023340423014459534,0.0009013399020866772,0.0007790287454862946,0.0004643095997571804,0.0,0.0,0.0,0
osi_target_t01h,C0_direct_osi,18039,Elkhart County,2,143,0.0014265647044793108,0.0008957413638315888,0.0002910174204174585,0.0007907385816860412,0.0014265647044793108,0.0008957413638315888,0.0002910174204174585,0.0007907385816860412,0.0,0.0,0.0,0
osi_target_t01h,C0_direct_osi,18041,Fayette County,1,143,0.00559188523623981,0.0021947352451410873,0.004471492810824576,-0.0018919970945173298,0.00559188523623981,0.0021947352451410873,0.004471492810824576,-0.0018919970945173298,0.0,0.0,0.0,0
osi_target_t01h,C0_direct_osi,18043,Floyd County,4,143,0.0017424063150849403,0.0006885319627654675,0.0004341451066592468,0.0002120861137347357,0.0017424063150849403,0.0006885319627654675,0.0004341451066592468,0.0002120861137347357,0.0,0.0,0.0,0
osi_target_t01h,C0_direct_osi,18045,Fountain County,1,143,0.0027256875887605677,0.0010666075109149148,0.001062400314907846,0.0010106634549708587,0.0027256875887605677,0.0010666075109149148,0.001062400314907846,0.0010106634549708587,0.0,0.0,0.0,0
osi_target_t01h,C0_direct_osi,18047,Franklin County,4,143,0.003175385390354221,0.0015177533995847812,0.001441879349950329,0.0007760135011697148,0.003175385390354221,0.0015177533995847812,0.001441879349950329,0.0007760135011697148,0.0,0.0,0.0,0
osi_target_t01h,C0_direct_osi,18051,Gibson County,2,143,0.0011517579756322458,0.0004282015559129254,0.0001896961401238459,-7.071567632098262e-05,0.0011517579756322458,0.0004282015559129254,0.0001896961401238459,-7.071567632098262e-05,0.0,0.0,0.0,0
osi_target_t01h,C0_direct_osi,18059,Hancock County,1,143,0.0012075984836802589,0.0005338791910409864,0.00020853605598352107,0.0004066460567954096,0.0012075984836802589,0.0005338791910409864,0.00020853605598352107,0.0004066460567954096,0.0,0.0,0.0,0
osi_target_t01h,C0_direct_osi,18061,Harrison County,3,143,0.0037627816765807343,0.001503360377020233,0.0020246692102224764,-0.0005707614524469167,0.0037627816765807343,0.001503360377020233,0.0020246692102224764,-0.0005707614524469167,0.0,0.0,0.0,0
osi_target_t01h,C0_direct_osi,18065,Henry County,3,143,0.0022480756451692023,0.0009434995146014701,0.0007226997072156185,-0.00014923271560847857,0.0022480756451692023,0.0009434995146014701,0.0007226997072156185,-0.00014923271560847857,0.0,0.0,0.0,0
