space,horizon,comparison,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
raw_D1,osi_target_t01h,G_minus_B,34177,0.0163294826267756,0.005200667214711284,9.113365501683543,1.803971258607693e-05,0.01598856362271889,0.005156351910600098,8.736808915911855,4.016593693561431e-05,-0.0003409190040567084,-2.087751411656491,0.37655658577168793,761
raw_D1,osi_target_t01h,G_minus_A,34177,0.016414137704847488,0.005210192178050882,9.208101197422746,8.514749031910849e-06,0.01598856362271889,0.005156351910600098,8.736808915911855,4.016593693561431e-05,-0.00042557408212859707,-2.5927288401078497,0.4712922815108911,784
raw_D1,osi_target_t01h,G_minus_C,34177,0.016214526977589912,0.005206117393301599,8.985505320301634,-9.381187769767311e-05,0.01598856362271889,0.005156351910600098,8.736808915911855,4.016593693561431e-05,-0.00022596335487102062,-1.3935858578133287,0.24869640438977925,30278
aligned_D1,osi_target_t01h,G_minus_B,34177,0.016390968965063528,0.005181320825802908,9.182124866724596,4.5037798218564206e-05,0.016051355938774752,0.005137005521691722,8.805568280952908,6.716402256810168e-05,-0.00033961302628877574,-2.0719521037020017,0.37655658577168793,761
aligned_D1,osi_target_t01h,G_minus_A,34177,0.016475308110903586,0.005190845789142505,9.276860562463797,3.551283466439818e-05,0.016051355938774752,0.005137005521691722,8.805568280952908,6.716402256810168e-05,-0.00042395217212883377,-2.57325792801566,0.4712922815108893,784
aligned_D1,osi_target_t01h,G_minus_C,34177,0.01618913731906255,0.0051639256238974985,8.957387288188745,-2.922805587409843e-07,0.016051355938774752,0.005137005521691722,8.805568280952908,6.716402256810168e-05,-0.0001377813802877978,-0.8510730224368546,0.15181900723583652,30278
aligned_D6,osi_target_t06h,G_minus_B,32982,0.01537466587210484,0.004976738426811634,7.796296726090335,7.495874653805031e-05,0.01537466587210484,0.004976738426811634,7.796296726090335,7.495874653805031e-05,0.0,0.0,0.0,0
aligned_D6,osi_target_t06h,G_minus_A,32982,0.01537466587210484,0.004976738426811634,7.796296726090335,7.495874653805031e-05,0.01537466587210484,0.004976738426811634,7.796296726090335,7.495874653805031e-05,0.0,0.0,0.0,0
aligned_D6,osi_target_t06h,G_minus_C,32982,0.015475001827297498,0.005000328931234959,7.898386929042423,2.1346596447690105e-05,0.01537466587210484,0.004976738426811634,7.796296726090335,7.495874653805031e-05,-0.00010033595519265762,-0.6483744319543017,0.1020902029520876,29913
