case,horizon,start,end,common_target,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
H0_Huber,osi_target_t48h,144,215,False,17208,0.006820769116646474,0.0015425792030725142,0.8005659142234318,-0.00019162948224700884,0.006820769116646474,0.0,0.0,0.0
H0_Huber,osi_target_t48h,120,215,True,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
L2_N01,osi_target_t01h,73,76,False,956,0.023564781526417063,0.00639516555292622,0.5308657755387052,-0.00042991651861295414,0.023564781526417063,0.0,0.0,0.0
L2_N01,osi_target_t01h,77,95,False,4541,0.018705630165985636,0.006338736593989799,1.5888986241760152,-0.00023549356638295424,0.018705630165985636,0.0,0.0,0.0
L2_N01,osi_target_t01h,96,143,False,11472,0.010243757552777533,0.004552897720332377,1.2038093732745954,0.0001420597239324634,0.010243757552777533,0.0,0.0,0.0
L2_N01,osi_target_t01h,144,215,False,17208,0.006841537592880292,0.00149399900411888,0.8054486032115395,-0.00021603126139926212,0.006841537592880292,0.0,0.0,0.0
L2_N01,osi_target_t01h,120,215,True,22944,0.007738439927520654,0.0022094994375028896,1.3739659344317916,-0.00012252600600626414,0.007738439927520654,0.0,0.0,0.0
L2_N01,osi_target_t06h,73,76,False,0,,,0.0,,,,,0.0
L2_N01,osi_target_t06h,77,95,False,4302,0.017660413432723704,0.006243311725541747,1.341751651648559,-0.00018870767107998974,0.017660413432723704,0.0,0.0,0.0
L2_N01,osi_target_t06h,96,143,False,11472,0.010243757552777533,0.004552897720332377,1.2038093732745954,0.0001420597239324634,0.010243757552777533,0.0,0.0,0.0
L2_N01,osi_target_t06h,144,215,False,17208,0.006841537592880292,0.00149399900411888,0.8054486032115395,-0.00021603126139926212,0.006841537592880292,0.0,0.0,0.0
L2_N01,osi_target_t06h,120,215,True,22944,0.007738439927520654,0.0022094994375028896,1.3739659344317916,-0.00012252600600626414,0.007738439927520654,0.0,0.0,0.0
L2_N01,osi_target_t24h,73,76,False,0,,,0.0,,,,,0.0
L2_N01,osi_target_t24h,77,95,False,0,,,0.0,,,,,0.0
L2_N01,osi_target_t24h,96,143,False,11472,0.010616169485079483,0.004753144773278289,1.292929441636221,4.1102281061094314e-05,0.010616169485079483,0.0,0.0,0.0
L2_N01,osi_target_t24h,144,215,False,17208,0.006713761658672963,0.001521997783465929,0.7756436412477103,-0.00016572547623682578,0.006713761658672963,0.0,0.0,0.0
L2_N01,osi_target_t24h,120,215,True,22944,0.007738976522688962,0.0022723063915952883,1.3741564868041627,-0.00011090911790532663,0.007738976522688962,0.0,0.0,0.0
L2_N01,osi_target_t48h,73,76,False,0,,,0.0,,,,,0.0
L2_N01,osi_target_t48h,77,95,False,0,,,0.0,,,,,0.0
L2_N01,osi_target_t48h,96,143,False,5736,0.009851380342539039,0.00431227695207857,0.5566770485316992,-5.147371735132227e-05,0.009851380342539039,0.0,0.0,0.0
L2_N01,osi_target_t48h,144,215,False,17208,0.006820769116646474,0.0015425792030725142,0.8005659142234318,-0.00019162948224700884,0.006820769116646474,0.0,0.0,0.0
L2_N01,osi_target_t48h,120,215,True,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
L2_N06,osi_target_t01h,73,76,False,956,0.023564781526417063,0.00639516555292622,0.5308657755387052,-0.00042991651861295414,0.023564781526417063,0.0,0.0,0.0
L2_N06,osi_target_t01h,77,95,False,4541,0.018705630165985636,0.006338736593989799,1.5888986241760152,-0.00023549356638295424,0.018705630165985636,0.0,0.0,0.0
L2_N06,osi_target_t01h,96,143,False,11472,0.010243757552777533,0.004552897720332377,1.2038093732745954,0.0001420597239324634,0.010243757552777533,0.0,0.0,0.0
L2_N06,osi_target_t01h,144,215,False,17208,0.006841537592880292,0.00149399900411888,0.8054486032115395,-0.00021603126139926212,0.006841537592880292,0.0,0.0,0.0
L2_N06,osi_target_t01h,120,215,True,22944,0.007738439927520654,0.0022094994375028896,1.3739659344317916,-0.00012252600600626414,0.007738439927520654,0.0,0.0,0.0
L2_N06,osi_target_t06h,73,76,False,0,,,0.0,,,,,0.0
L2_N06,osi_target_t06h,77,95,False,4302,0.017660413432723704,0.006243311725541747,1.341751651648559,-0.00018870767107998974,0.017660413432723704,0.0,0.0,0.0
L2_N06,osi_target_t06h,96,143,False,11472,0.010243757552777533,0.004552897720332377,1.2038093732745954,0.0001420597239324634,0.010243757552777533,0.0,0.0,0.0
L2_N06,osi_target_t06h,144,215,False,17208,0.006841537592880292,0.00149399900411888,0.8054486032115395,-0.00021603126139926212,0.006841537592880292,0.0,0.0,0.0
L2_N06,osi_target_t06h,120,215,True,22944,0.007738439927520654,0.0022094994375028896,1.3739659344317916,-0.00012252600600626414,0.007738439927520654,0.0,0.0,0.0
L2_N06,osi_target_t24h,73,76,False,0,,,0.0,,,,,0.0
L2_N06,osi_target_t24h,77,95,False,0,,,0.0,,,,,0.0
L2_N06,osi_target_t24h,96,143,False,11472,0.010616169485079483,0.004753144773278289,1.292929441636221,4.1102281061094314e-05,0.010616169485079483,0.0,0.0,0.0
L2_N06,osi_target_t24h,144,215,False,17208,0.006713761658672963,0.001521997783465929,0.7756436412477103,-0.00016572547623682578,0.006713761658672963,0.0,0.0,0.0
L2_N06,osi_target_t24h,120,215,True,22944,0.007738976522688962,0.0022723063915952883,1.3741564868041627,-0.00011090911790532663,0.007738976522688962,0.0,0.0,0.0
L2_N06,osi_target_t48h,73,76,False,0,,,0.0,,,,,0.0
L2_N06,osi_target_t48h,77,95,False,0,,,0.0,,,,,0.0
L2_N06,osi_target_t48h,96,143,False,5736,0.009851380342539039,0.00431227695207857,0.5566770485316992,-5.147371735132227e-05,0.009851380342539039,0.0,0.0,0.0
L2_N06,osi_target_t48h,144,215,False,17208,0.006820769116646474,0.0015425792030725142,0.8005659142234318,-0.00019162948224700884,0.006820769116646474,0.0,0.0,0.0
L2_N06,osi_target_t48h,120,215,True,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
L2_N24,osi_target_t01h,73,76,False,956,0.023564781526417063,0.00639516555292622,0.5308657755387052,-0.00042991651861295414,0.023564781526417063,0.0,0.0,0.0
L2_N24,osi_target_t01h,77,95,False,4541,0.018705630165985636,0.006338736593989799,1.5888986241760152,-0.00023549356638295424,0.018705630165985636,0.0,0.0,0.0
L2_N24,osi_target_t01h,96,143,False,11472,0.010243757552777533,0.004552897720332377,1.2038093732745954,0.0001420597239324634,0.010243757552777533,0.0,0.0,0.0
L2_N24,osi_target_t01h,144,215,False,17208,0.006841537592880292,0.00149399900411888,0.8054486032115395,-0.00021603126139926212,0.006841537592880292,0.0,0.0,0.0
L2_N24,osi_target_t01h,120,215,True,22944,0.007738439927520654,0.0022094994375028896,1.3739659344317916,-0.00012252600600626414,0.007738439927520654,0.0,0.0,0.0
L2_N24,osi_target_t06h,73,76,False,0,,,0.0,,,,,0.0
L2_N24,osi_target_t06h,77,95,False,4302,0.017660413432723704,0.006243311725541747,1.341751651648559,-0.00018870767107998974,0.017660413432723704,0.0,0.0,0.0
L2_N24,osi_target_t06h,96,143,False,11472,0.010243757552777533,0.004552897720332377,1.2038093732745954,0.0001420597239324634,0.010243757552777533,0.0,0.0,0.0
L2_N24,osi_target_t06h,144,215,False,17208,0.006841537592880292,0.00149399900411888,0.8054486032115395,-0.00021603126139926212,0.006841537592880292,0.0,0.0,0.0
L2_N24,osi_target_t06h,120,215,True,22944,0.007738439927520654,0.0022094994375028896,1.3739659344317916,-0.00012252600600626414,0.007738439927520654,0.0,0.0,0.0
L2_N24,osi_target_t24h,73,76,False,0,,,0.0,,,,,0.0
L2_N24,osi_target_t24h,77,95,False,0,,,0.0,,,,,0.0
L2_N24,osi_target_t24h,96,143,False,11472,0.010616169485079483,0.004753144773278289,1.292929441636221,4.1102281061094314e-05,0.010616169485079483,0.0,0.0,0.0
L2_N24,osi_target_t24h,144,215,False,17208,0.006713761658672963,0.001521997783465929,0.7756436412477103,-0.00016572547623682578,0.006713761658672963,0.0,0.0,0.0
L2_N24,osi_target_t24h,120,215,True,22944,0.007738976522688962,0.0022723063915952883,1.3741564868041627,-0.00011090911790532663,0.007738976522688962,0.0,0.0,0.0
L2_N24,osi_target_t48h,73,76,False,0,,,0.0,,,,,0.0
L2_N24,osi_target_t48h,77,95,False,0,,,0.0,,,,,0.0
L2_N24,osi_target_t48h,96,143,False,5736,0.009851380342539039,0.00431227695207857,0.5566770485316992,-5.147371735132227e-05,0.009851380342539039,0.0,0.0,0.0
L2_N24,osi_target_t48h,144,215,False,17208,0.006820769116646474,0.0015425792030725142,0.8005659142234318,-0.00019162948224700884,0.006820769116646474,0.0,0.0,0.0
L2_N24,osi_target_t48h,120,215,True,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
L2_N48,osi_target_t01h,73,76,False,956,0.023564781526417063,0.00639516555292622,0.5308657755387052,-0.00042991651861295414,0.023564781526417063,0.0,0.0,0.0
L2_N48,osi_target_t01h,77,95,False,4541,0.018705630165985636,0.006338736593989799,1.5888986241760152,-0.00023549356638295424,0.018705630165985636,0.0,0.0,0.0
L2_N48,osi_target_t01h,96,143,False,11472,0.010243757552777533,0.004552897720332377,1.2038093732745954,0.0001420597239324634,0.010243757552777533,0.0,0.0,0.0
L2_N48,osi_target_t01h,144,215,False,17208,0.006841537592880292,0.00149399900411888,0.8054486032115395,-0.00021603126139926212,0.006841537592880292,0.0,0.0,0.0
L2_N48,osi_target_t01h,120,215,True,22944,0.007738439927520654,0.0022094994375028896,1.3739659344317916,-0.00012252600600626414,0.007738439927520654,0.0,0.0,0.0
L2_N48,osi_target_t06h,73,76,False,0,,,0.0,,,,,0.0
L2_N48,osi_target_t06h,77,95,False,4302,0.017660413432723704,0.006243311725541747,1.341751651648559,-0.00018870767107998974,0.017660413432723704,0.0,0.0,0.0
L2_N48,osi_target_t06h,96,143,False,11472,0.010243757552777533,0.004552897720332377,1.2038093732745954,0.0001420597239324634,0.010243757552777533,0.0,0.0,0.0
L2_N48,osi_target_t06h,144,215,False,17208,0.006841537592880292,0.00149399900411888,0.8054486032115395,-0.00021603126139926212,0.006841537592880292,0.0,0.0,0.0
L2_N48,osi_target_t06h,120,215,True,22944,0.007738439927520654,0.0022094994375028896,1.3739659344317916,-0.00012252600600626414,0.007738439927520654,0.0,0.0,0.0
L2_N48,osi_target_t24h,73,76,False,0,,,0.0,,,,,0.0
L2_N48,osi_target_t24h,77,95,False,0,,,0.0,,,,,0.0
L2_N48,osi_target_t24h,96,143,False,11472,0.010616169485079483,0.004753144773278289,1.292929441636221,4.1102281061094314e-05,0.010616169485079483,0.0,0.0,0.0
L2_N48,osi_target_t24h,144,215,False,17208,0.006713761658672963,0.001521997783465929,0.7756436412477103,-0.00016572547623682578,0.006713761658672963,0.0,0.0,0.0
L2_N48,osi_target_t24h,120,215,True,22944,0.007738976522688962,0.0022723063915952883,1.3741564868041627,-0.00011090911790532663,0.007738976522688962,0.0,0.0,0.0
L2_N48,osi_target_t48h,73,76,False,0,,,0.0,,,,,0.0
L2_N48,osi_target_t48h,77,95,False,0,,,0.0,,,,,0.0
L2_N48,osi_target_t48h,96,143,False,5736,0.009851380342539039,0.00431227695207857,0.5566770485316992,-5.147371735132227e-05,0.009851380342539039,0.0,0.0,0.0
L2_N48,osi_target_t48h,144,215,False,17208,0.006820769116646474,0.0015425792030725142,0.8005659142234318,-0.00019162948224700884,0.006820769116646474,0.0,0.0,0.0
L2_N48,osi_target_t48h,120,215,True,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
L2_all,osi_target_t01h,73,76,False,956,0.023564781526417063,0.00639516555292622,0.5308657755387052,-0.00042991651861295414,0.023564781526417063,0.0,0.0,0.0
L2_all,osi_target_t01h,77,95,False,4541,0.018705630165985636,0.006338736593989799,1.5888986241760152,-0.00023549356638295424,0.018705630165985636,0.0,0.0,0.0
L2_all,osi_target_t01h,96,143,False,11472,0.010243757552777533,0.004552897720332377,1.2038093732745954,0.0001420597239324634,0.010243757552777533,0.0,0.0,0.0
L2_all,osi_target_t01h,144,215,False,17208,0.006841537592880292,0.00149399900411888,0.8054486032115395,-0.00021603126139926212,0.006841537592880292,0.0,0.0,0.0
L2_all,osi_target_t01h,120,215,True,22944,0.007738439927520654,0.0022094994375028896,1.3739659344317916,-0.00012252600600626414,0.007738439927520654,0.0,0.0,0.0
L2_all,osi_target_t06h,73,76,False,0,,,0.0,,,,,0.0
L2_all,osi_target_t06h,77,95,False,4302,0.017660413432723704,0.006243311725541747,1.341751651648559,-0.00018870767107998974,0.017660413432723704,0.0,0.0,0.0
L2_all,osi_target_t06h,96,143,False,11472,0.010243757552777533,0.004552897720332377,1.2038093732745954,0.0001420597239324634,0.010243757552777533,0.0,0.0,0.0
L2_all,osi_target_t06h,144,215,False,17208,0.006841537592880292,0.00149399900411888,0.8054486032115395,-0.00021603126139926212,0.006841537592880292,0.0,0.0,0.0
L2_all,osi_target_t06h,120,215,True,22944,0.007738439927520654,0.0022094994375028896,1.3739659344317916,-0.00012252600600626414,0.007738439927520654,0.0,0.0,0.0
L2_all,osi_target_t24h,73,76,False,0,,,0.0,,,,,0.0
L2_all,osi_target_t24h,77,95,False,0,,,0.0,,,,,0.0
L2_all,osi_target_t24h,96,143,False,11472,0.010616169485079483,0.004753144773278289,1.292929441636221,4.1102281061094314e-05,0.010616169485079483,0.0,0.0,0.0
L2_all,osi_target_t24h,144,215,False,17208,0.006713761658672963,0.001521997783465929,0.7756436412477103,-0.00016572547623682578,0.006713761658672963,0.0,0.0,0.0
L2_all,osi_target_t24h,120,215,True,22944,0.007738976522688962,0.0022723063915952883,1.3741564868041627,-0.00011090911790532663,0.007738976522688962,0.0,0.0,0.0
L2_all,osi_target_t48h,73,76,False,0,,,0.0,,,,,0.0
L2_all,osi_target_t48h,77,95,False,0,,,0.0,,,,,0.0
L2_all,osi_target_t48h,96,143,False,5736,0.009851380342539039,0.00431227695207857,0.5566770485316992,-5.147371735132227e-05,0.009851380342539039,0.0,0.0,0.0
L2_all,osi_target_t48h,144,215,False,17208,0.006820769116646474,0.0015425792030725142,0.8005659142234318,-0.00019162948224700884,0.006820769116646474,0.0,0.0,0.0
L2_all,osi_target_t48h,120,215,True,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
