candidate,outer_fold,kind,target,inner_fold,best_iteration,refit_rounds,actual_trees,training_rows,training_counties,validation_rows,weight_mean,row_weight_ess,model_id
F2,0,a,P_anchor_a_t01h,1,97,122,122,16159,113,4719,0.015646328325231478,823.5781568731726,386bd6a0923f10ac3ce5e0c2cfb20ac29f811fe741f2c95432c9bf20e97e3277
F2,0,a,P_anchor_a_t01h,2,300,122,122,15587,109,5291,0.015460089637099864,755.3094857040898,386bd6a0923f10ac3ce5e0c2cfb20ac29f811fe741f2c95432c9bf20e97e3277
F2,0,a,P_anchor_a_t01h,3,59,122,122,15444,108,5434,0.016503729196769658,817.9863403251512,386bd6a0923f10ac3ce5e0c2cfb20ac29f811fe741f2c95432c9bf20e97e3277
F2,0,a,P_anchor_a_t01h,4,32,122,122,15444,108,5434,0.011556630039969002,2014.0010073096857,386bd6a0923f10ac3ce5e0c2cfb20ac29f811fe741f2c95432c9bf20e97e3277
F2,0,b,P_excess_b_t01h,1,34,323,323,20449,143,6864,0.9192585725367214,19899.53347364966,5667595b456411c76a09fb7902b19fe8ba31f512e051e81bf095ec15915c5141
F2,0,b,P_excess_b_t01h,2,40,323,323,20449,143,6864,0.9231126717513558,19930.384341799843,5667595b456411c76a09fb7902b19fe8ba31f512e051e81bf095ec15915c5141
F2,0,b,P_excess_b_t01h,3,820,323,323,20592,144,6721,0.9214091547586883,20039.428023376207,5667595b456411c76a09fb7902b19fe8ba31f512e051e81bf095ec15915c5141
F2,0,b,P_excess_b_t01h,4,399,323,323,20449,143,6864,0.9216167057224941,19980.928863728113,5667595b456411c76a09fb7902b19fe8ba31f512e051e81bf095ec15915c5141
F2,1,a,P_anchor_a_t01h,0,383,144,144,16159,113,5720,0.015646328325231478,823.5781568731726,68d87863bd628fefd2b32deed61f843b0e4b23e2700ddc3a997d3e40fcfe2ecc
F2,1,a,P_anchor_a_t01h,2,103,144,144,16588,116,5291,0.015371448691666581,784.9529486117095,68d87863bd628fefd2b32deed61f843b0e4b23e2700ddc3a997d3e40fcfe2ecc
F2,1,a,P_anchor_a_t01h,3,57,144,144,16445,115,5434,0.016350791574265746,846.945928879226,68d87863bd628fefd2b32deed61f843b0e4b23e2700ddc3a997d3e40fcfe2ecc
F2,1,a,P_anchor_a_t01h,4,34,144,144,16445,115,5434,0.011704820192226868,1702.5109349714726,68d87863bd628fefd2b32deed61f843b0e4b23e2700ddc3a997d3e40fcfe2ecc
F2,1,b,P_excess_b_t01h,0,442,216,216,20449,143,6864,0.9192585725367214,19899.53347364966,7ebb5ce36631e93f21e4da8f3f984b202baae572923bd7fe2c43b5aa7f5dd296
F2,1,b,P_excess_b_t01h,2,40,216,216,20449,143,6864,0.9203467470645686,19909.55296337576,7ebb5ce36631e93f21e4da8f3f984b202baae572923bd7fe2c43b5aa7f5dd296
F2,1,b,P_excess_b_t01h,3,215,216,216,20592,144,6721,0.918662437882226,20018.62240828062,7ebb5ce36631e93f21e4da8f3f984b202baae572923bd7fe2c43b5aa7f5dd296
F2,1,b,P_excess_b_t01h,4,168,216,216,20449,143,6864,0.9188507810357069,19960.424420419815,7ebb5ce36631e93f21e4da8f3f984b202baae572923bd7fe2c43b5aa7f5dd296
F2,2,a,P_anchor_a_t01h,0,478,260,260,15587,109,5720,0.015460089637099864,755.3094857040898,e9a276ca275ce4b561b07eade11a54d39492560fda6b7d5a11edd226e362e13f
F2,2,a,P_anchor_a_t01h,1,354,260,260,16588,116,4719,0.015371448691666581,784.9529486117095,e9a276ca275ce4b561b07eade11a54d39492560fda6b7d5a11edd226e362e13f
F2,2,a,P_anchor_a_t01h,3,85,260,260,15873,111,5434,0.016193294601200805,780.6341459654352,e9a276ca275ce4b561b07eade11a54d39492560fda6b7d5a11edd226e362e13f
F2,2,a,P_anchor_a_t01h,4,123,260,260,15873,111,5434,0.011379900827016383,1551.6074440656532,e9a276ca275ce4b561b07eade11a54d39492560fda6b7d5a11edd226e362e13f
F2,2,b,P_excess_b_t01h,0,282,324,324,20449,143,6864,0.9231126717513558,19930.384341799843,b7cd862399539f8685ff2f5f4bde8be4a7dd50b70660d54400f518c1931ffa20
F2,2,b,P_excess_b_t01h,1,5,324,324,20449,143,6864,0.9203467470645686,19909.55296337576,b7cd862399539f8685ff2f5f4bde8be4a7dd50b70660d54400f518c1931ffa20
F2,2,b,P_excess_b_t01h,3,635,324,324,20592,144,6721,0.922489772518981,20049.509335464834,b7cd862399539f8685ff2f5f4bde8be4a7dd50b70660d54400f518c1931ffa20
F2,2,b,P_excess_b_t01h,4,377,324,324,20449,143,6864,0.9227048802503415,19990.907124080506,b7cd862399539f8685ff2f5f4bde8be4a7dd50b70660d54400f518c1931ffa20
F2,3,a,P_anchor_a_t01h,0,401,147,147,15444,108,5720,0.016503729196769658,817.9863403251512,c2dde6eb03ae79bb532f35fcd7855629756d535dee39e28ef32ff5b123b1694b
F2,3,a,P_anchor_a_t01h,1,52,147,147,16445,115,4719,0.016350791574265746,846.945928879226,c2dde6eb03ae79bb532f35fcd7855629756d535dee39e28ef32ff5b123b1694b
F2,3,a,P_anchor_a_t01h,2,95,147,147,15873,111,5291,0.016193294601200805,780.6341459654352,c2dde6eb03ae79bb532f35fcd7855629756d535dee39e28ef32ff5b123b1694b
F2,3,a,P_anchor_a_t01h,4,40,147,147,15730,110,5434,0.012367472496418688,1605.8014604136554,c2dde6eb03ae79bb532f35fcd7855629756d535dee39e28ef32ff5b123b1694b
F2,3,b,P_excess_b_t01h,0,145,140,140,20592,144,6864,0.9214091547586883,20039.428023376207,9b2cd86b459a6224874aba3e0af0df861f4a55bf0ba2a5ca22503f35283b702d
F2,3,b,P_excess_b_t01h,1,50,140,140,20592,144,6864,0.918662437882226,20018.62240828062,9b2cd86b459a6224874aba3e0af0df861f4a55bf0ba2a5ca22503f35283b702d
F2,3,b,P_excess_b_t01h,2,36,140,140,20592,144,6864,0.922489772518981,20049.509335464834,9b2cd86b459a6224874aba3e0af0df861f4a55bf0ba2a5ca22503f35283b702d
F2,3,b,P_excess_b_t01h,4,329,140,140,20592,144,6864,0.9210041951430976,20099.996104659564,9b2cd86b459a6224874aba3e0af0df861f4a55bf0ba2a5ca22503f35283b702d
