split_seed,case,horizon,space,group,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
42,B0,osi_target_t01h,component_clipped,full,34177,0.017861487700620824,0.005219315121071696,10.903582053390243,2.7250338117868578e-05,0.017861487700620824,0.0,0.0,0.0
42,B0,osi_target_t01h,component_clipped,common_120_215,22944,0.012881572306251579,0.0036056003827212024,3.807210462182769,6.369194313091443e-05,0.012881572306251579,0.0,0.0,0.0
42,B0,osi_target_t01h,aligned,full,34177,0.01751543915129438,0.00512763273900132,10.485182632264962,2.732603201413446e-05,0.01751543915129438,0.0,0.0,0.0
42,B0,osi_target_t01h,aligned,common_120_215,22944,0.012325350266945725,0.003465514814157787,3.4855207631513156,8.965335245835866e-05,0.012325350266945725,0.0,0.0,0.0
42,B0,osi_target_t06h,component_clipped,full,32982,0.016247431187159732,0.005153770877592177,8.706556043625927,0.00015903789504835344,0.016247431187159732,0.0,0.0,0.0
42,B0,osi_target_t06h,component_clipped,common_120_215,22944,0.012674554734460074,0.0036838837518163455,3.6858236845748165,0.0002390061932351375,0.012674554734460074,0.0,0.0,0.0
42,B0,osi_target_t06h,aligned,full,32982,0.01570824624527064,0.004887397269315959,8.138275521366115,6.378545417664188e-05,0.01570824624527064,0.0,0.0,0.0
42,B0,osi_target_t06h,aligned,common_120_215,22944,0.012325350266945725,0.003465514814157787,3.4855207631513156,8.965335245835866e-05,0.012325350266945725,0.0,0.0,0.0
42,B0,osi_target_t24h,component_clipped,full,28680,0.01363012843468114,0.0043960020609303575,5.328181904864508,6.563508394135092e-05,0.01363012843468114,0.0,0.0,0.0
42,B0,osi_target_t24h,component_clipped,common_120_215,22944,0.012351184882079353,0.0035178119660870585,3.500147764792515,5.411725853369705e-05,0.012351184882079353,0.0,0.0,0.0
42,B0,osi_target_t24h,aligned,full,28680,0.013426585219527803,0.0042510122154558625,5.170235108049715,0.00010480091903103068,0.013426585219527803,0.0,0.0,0.0
42,B0,osi_target_t24h,aligned,common_120_215,22944,0.012325350266945725,0.003465514814157787,3.4855207631513156,8.965335245835866e-05,0.012325350266945725,0.0,0.0,0.0
42,B0,osi_target_t48h,component_clipped,full,22944,0.01234645607437439,0.0034840596165209028,3.4974681259730933,1.7980149336858274e-06,0.01234645607437439,0.0,0.0,0.0
42,B0,osi_target_t48h,component_clipped,common_120_215,22944,0.01234645607437439,0.0034840596165209028,3.4974681259730933,1.7980149336858274e-06,0.01234645607437439,0.0,0.0,0.0
42,B0,osi_target_t48h,aligned,full,22944,0.012325350266945725,0.003465514814157787,3.4855207631513156,8.965335245835866e-05,0.012325350266945725,0.0,0.0,0.0
42,B0,osi_target_t48h,aligned,common_120_215,22944,0.012325350266945725,0.003465514814157787,3.4855207631513156,8.965335245835866e-05,0.012325350266945725,0.0,0.0,0.0
42,NB_P24,osi_target_t01h,component_clipped,full,34177,0.017861487700620824,0.005219315121071696,10.903582053390243,2.7250338117868578e-05,0.017861487700620824,0.0,0.0,0.0
42,NB_P24,osi_target_t01h,component_clipped,common_120_215,22944,0.012881572306251579,0.0036056003827212024,3.807210462182769,6.369194313091443e-05,0.012881572306251579,0.0,0.0,0.0
